year,state_fips,county_fips,county_name,ndvi_corn_mean,corn_pixel_count
2010,19,021,Buena Vista,0.8175067910160597,14784
2010,19,013,Black Hawk,0.8106328857352865,12748
2010,19,075,Grundy,0.8292607287012538,13455
2010,19,017,Bremer,0.820062281533151,10976
2010,19,085,Harrison,0.8035076889262467,17026
2010,19,129,Mills,0.801599239960484,9329
2010,19,155,Pottawattamie,0.8093444960333428,21228
2010,19,123,Mahaska,0.7474700325273637,11418
2010,19,125,Marion,0.7574809780279768,6741
2010,19,053,Decatur,0.7523416789570067,2395
2010,19,031,Cedar,0.7911393159635836,14924
2010,19,151,Pocahontas,0.8088585665166053,16238
2010,19,109,Kossuth,0.8179544982567912,27499
2010,19,089,Howard,0.834340811508563,11378
2010,19,147,Palo Alto,0.802728337008062,16698
2010,19,159,Ringgold,0.7686915918604746,3956
2010,19,025,Calhoun,0.8071233249239489,16656
2010,19,039,Clarke,0.7544584707877995,2739
2010,19,065,Fayette,0.814631067388994,16188
2010,19,001,Adair,0.7917527783059428,9303
2010,19,037,Chickasaw,0.8367166571965419,12850
2010,19,081,Hancock,0.8130236877143174,16993
2010,19,157,Poweshiek,0.7915254424602366,12164
2010,19,165,Shelby,0.8312855387124547,15319
2010,19,185,Wayne,0.737309909134332,4197
2010,19,097,Jackson,0.8021169454445242,8634
2010,19,043,Clayton,0.8077979433968768,12409
2010,19,007,Appanoose,0.7379403346466747,2606
2010,19,177,Van Buren,0.7415130698512788,4940
2010,19,197,Wright,0.7873864839079528,15593
2010,19,137,Montgomery,0.8075699425260684,8361
2010,19,175,Union,0.7687267076255626,4249
2010,19,107,Keokuk,0.762412220891989,10344
2010,19,131,Mitchell,0.8378697627974343,13428
2010,19,191,Winneshiek,0.8267273843978254,12180
2010,19,161,Sac,0.8304542841976432,15412
2010,19,055,Delaware,0.8180526057235075,18105
2010,19,067,Floyd,0.8303564898147221,12874
2010,19,009,Audubon,0.8102791524414167,10469
2010,19,079,Hamilton,0.8156415355470265,17232
2010,19,069,Franklin,0.8167965815824921,17300
2010,19,141,O'Brien,0.8129046432664825,15259
2010,19,167,Sioux,0.8225811292052851,22324
2010,19,005,Allamakee,0.8191112432198021,5370
2010,19,189,Winnebago,0.8320954543199233,11122
2010,19,093,Ida,0.835740468060291,11001
2010,19,029,Cass,0.8060820318138514,12369
2010,19,083,Hardin,0.8349600844950185,15941
2010,19,173,Taylor,0.7743006472243618,6576
2010,19,145,Page,0.7990379149840486,9687
2010,19,035,Cherokee,0.8184135271272415,13531
2010,19,071,Fremont,0.7860460223292991,10646
2010,19,095,Iowa,0.7968957458236441,10431
2010,19,023,Butler,0.8306014955146126,14651
2010,19,063,Emmet,0.8116631246444334,10615
2010,19,047,Crawford,0.8422861609397672,17992
2010,19,019,Buchanan,0.8166291395549778,16690
2010,19,143,Osceola,0.8138209021973731,10790
2010,19,073,Greene,0.8075625137157576,15838
2010,19,087,Henry,0.7437774587292072,7804
2010,19,119,Lyon,0.8192345877277196,15440
2010,19,003,Adams,0.7908824888812318,6306
2010,19,133,Monona,0.8051405507935824,16372
2010,19,091,Humboldt,0.7906053377395441,11897
2010,19,115,Louisa,0.7727623808514456,8348
2010,19,171,Tama,0.8139936628416491,14337
2010,19,135,Monroe,0.7503341906259535,2404
2010,19,117,Lucas,0.734123276606576,2335
2010,19,057,Des Moines,0.7458526232475207,7276
2010,19,011,Benton,0.8202176727812276,17000
2010,19,113,Linn,0.8101572375310125,13706
2010,19,105,Jones,0.7967414294108143,14103
2010,19,103,Johnson,0.789728988863227,10953
2010,19,183,Washington,0.7772369279124662,11510
2010,19,045,Clinton,0.7991185558856493,18129
2010,19,163,Scott,0.7784888791862943,10376
2010,19,139,Muscatine,0.774835556097731,9232
2010,19,169,Story,0.8076017352902861,14057
2010,19,015,Boone,0.8003678375094825,14632
2010,19,121,Madison,0.7877861172877697,5772
2010,19,181,Warren,0.7655433477655192,5985
2010,19,049,Dallas,0.7975614575924009,11767
2010,19,153,Polk,0.7768658567103025,7583
2010,19,077,Guthrie,0.8054120036265999,10244
2010,19,099,Jasper,0.7988446638145651,15008
2010,31,043,Dakota,0.809690484872145,5661
2010,31,051,Dixon,0.8006344026180205,9711
2010,31,053,Dodge,0.789404092948693,12040
2010,31,025,Cass,0.804114075597366,9731
2010,31,055,Douglas,0.7637421286051206,2474
2010,31,153,Sarpy,0.7762234219431016,2815
2010,31,155,Saunders,0.7986693798509886,14457
2010,31,177,Washington,0.7935453369859446,6738
2010,31,067,Gage,0.7628167764596195,12536
2010,31,109,Lancaster,0.7739001820454711,11247
2010,31,159,Seward,0.8028538191765205,11172
2010,31,139,Pierce,0.7888297974030464,11949
2010,31,119,Madison,0.7811584968027,11234
2010,31,167,Stanton,0.7940705618999236,7370
2010,31,117,McPherson,0.7080506967385264,467
2010,31,111,Lincoln,0.7401119461745229,18300
2010,31,113,Logan,0.730322292452074,2021
2010,31,007,Banner,0.5734763732923235,954
2010,31,157,Scotts Bluff,0.6043301764933957,7488
2010,31,165,Sioux,0.614820340187466,1327
2010,31,039,Cuming,0.8143912247238893,13403
2010,31,129,Nuckolls,0.7545641734482674,8222
2010,31,101,Keith,0.687536159067083,9731
2010,31,137,Phelps,0.8069603499965986,14747
2010,31,181,Webster,0.7482653255381637,5822
2010,31,015,Boyd,0.7468160579197785,2551
2010,31,171,Thomas,0.7083628926367105,35
2010,31,089,Holt,0.7716815828905776,15796
2010,31,017,Brown,0.7420724746787435,3244
2010,31,103,Keya Paha,0.729296840768997,1282
2010,31,077,Greeley,0.7648434914015015,6240
2010,31,095,Jefferson,0.7724936557094181,8099
2010,31,151,Saline,0.7816594863957939,11215
2010,31,057,Dundy,0.715189931003695,9885
2010,31,131,Otoe,0.7854743567311704,10286
2010,31,087,Hitchcock,0.659419375484934,5489
2010,31,105,Kimball,0.5797056553852575,1203
2010,31,127,Nemaha,0.7609531071457466,6187
2010,31,041,Custer,0.761424797634822,20524
2010,31,143,Polk,0.8013973577326226,10815
2010,31,045,Dawes,0.5949007097347685,281
2010,31,179,Wayne,0.807963906491217,10279
2010,31,071,Garfield,0.7280606431204707,984
2010,31,013,Box Butte,0.6107982594210375,4411
2010,31,173,Thurston,0.8092626907368812,7964
2010,31,011,Boone,0.7862617365328778,13177
2010,31,145,Red Willow,0.6843503710516758,7407
2010,31,149,Rock,0.7403255316414202,2213
2010,31,005,Arthur,0.711606260209832,266
2010,31,085,Hayes,0.6873883724505925,7021
2010,31,097,Johnson,0.7700305243662935,3359
2010,31,003,Antelope,0.7853105942117723,17205
2010,31,163,Sherman,0.7933467492549757,6305
2010,31,161,Sheridan,0.6135001679894784,2779
2010,31,133,Pawnee,0.7279166494834348,3096
2010,31,075,Grant,,0
2010,31,021,Burt,0.7970018645083832,11557
2010,31,009,Blaine,0.6578463685455981,259
2010,31,027,Cedar,0.7946986077920415,15139
2010,31,169,Thayer,0.7912371264537509,11192
2010,31,049,Deuel,0.6247409796858195,2068
2010,31,123,Morrill,0.6389345364192697,5704
2010,31,115,Loup,0.7329870050605878,580
2010,31,063,Frontier,0.7009684375343213,8041
2010,31,125,Nance,0.7786692080993226,7041
2010,31,107,Knox,0.781137291843769,10737
2010,31,135,Perkins,0.6574926777698175,18143
2010,31,037,Colfax,0.7845981491160083,9310
2010,31,023,Butler,0.8019519087736746,12229
2010,31,031,Cherry,0.6892292977647787,1599
2010,31,183,Wheeler,0.7369665701662124,3488
2010,31,061,Franklin,0.7822522449469845,6675
2010,31,029,Chase,0.7329691408380243,16007
2010,31,059,Fillmore,0.817037544684104,16031
2010,31,185,York,0.8275066247138689,17318
2010,31,035,Clay,0.806808822870622,14994
2010,31,033,Cheyenne,0.5985521743006261,2910
2010,31,069,Garden,0.6505000023727335,2463
2010,31,083,Harlan,0.7538285576496094,7530
2010,31,091,Hooker,0.5060333333333333,6
2010,31,147,Richardson,0.7665426309345799,8404
2010,31,065,Furnas,0.7067494585647238,7996
2010,31,175,Valley,0.7738551822330301,5928
2010,31,141,Platte,0.7939065025933784,16259
2010,31,121,Merrick,0.7850232626405397,11468
2010,31,079,Hall,0.8036915076202997,16022
2010,31,081,Hamilton,0.8294850157037197,16678
2010,31,093,Howard,0.7808246977021893,8684
2010,31,001,Adams,0.7927773538854523,14899
2010,31,099,Kearney,0.7942731551470256,13624
2010,31,019,Buffalo,0.7986563896323654,16962
2010,31,073,Gosper,0.7609656274694363,7064
2010,31,047,Dawson,0.79300772261169,17086
2010,37,037,Chatham,0.7661646193122089,213
2010,37,115,Madison,0.7436944444444443,21
2010,37,087,Haywood,0.7291521367521367,78
2010,37,021,Buncombe,0.6934816827111437,141
2010,37,089,Henderson,0.7235737655590437,366
2010,37,175,Transylvania,0.7774939116253085,74
2010,37,167,Stanly,0.7683215347171132,1118
2010,37,109,Lincoln,0.7406246766742117,199
2010,37,159,Rowan,0.7542057415991623,1033
2010,37,025,Cabarrus,0.7621539884155877,395
2010,37,097,Iredell,0.7678573489975793,1448
2010,37,071,Gaston,0.7508999567533567,69
2010,37,179,Union,0.742416688088619,3047
2010,37,119,Mecklenburg,0.7637072794278621,109
2010,37,045,Cleveland,0.7042896126153815,141
2010,37,005,Alleghany,0.8173483688791443,99
2010,37,173,Swain,0.7121166666666667,4
2010,37,011,Avery,,0
2010,37,033,Caswell,0.7748741208934626,107
2010,37,075,Graham,0.7740600000000001,5
2010,37,007,Anson,0.756455587783114,685
2010,37,149,Polk,0.7776702702702704,2
2010,37,039,Cherokee,0.7490584874416116,70
2010,37,113,Macon,0.7578037037037039,9
2010,37,009,Ashe,,0
2010,37,123,Montgomery,0.779108501263089,208
2010,37,043,Clay,0.7342761788428727,37
2010,37,121,Mitchell,0.632875,10
2010,37,199,Yancey,0.7370104166666667,8
2010,37,189,Watauga,0.7706000000000001,2
2010,37,099,Jackson,0.7828611111111111,3
2010,37,161,Rutherford,0.7136125,8
2010,37,193,Wilkes,0.7874110218166042,496
2010,37,125,Moore,0.7237237072875722,156
2010,37,153,Richmond,0.7361618068047422,244
2010,37,093,Hoke,0.7007342344893012,549
2010,37,165,Scotland,0.6898684526427306,484
2010,37,155,Robeson,0.6969643642095584,5485
2010,37,001,Alamance,0.764622181322364,429
2010,37,151,Randolph,0.7661637961557239,732
