year,state_fips,county_fips,county_name,precip_sum_mm,tmean_c,tmax_c,tmin_c
2010,17,121,Marion,316.2873296509916,25.775827553760088,31.43809293241236,20.11456474347334
2010,17,005,Bond,430.7305742556157,25.763964423344465,31.32603205348215,20.20290275954844
2010,17,083,Jersey,399.9386948201649,25.626642482246268,31.112610829690226,20.14167088744767
2010,17,163,St. Clair,337.84172546191854,26.447081792350566,31.99721266739125,20.897949554631584
2010,17,027,Clinton,357.15203718080545,26.04367769247521,31.45972826579268,20.62861008450893
2010,17,013,Calhoun,373.9440991916127,25.7011703493988,31.244847288894828,20.158460392107106
2010,17,119,Madison,407.3765644451545,26.278638632183828,31.522192441195465,21.036076602055303
2010,17,133,Monroe,271.6175494124744,26.370709087836286,32.14482076667547,20.59759284623493
2010,17,117,Macoupin,439.20064457941953,25.25494979598935,30.65081841927137,19.86007692034796
2010,17,171,Scott,538.7565607919673,24.99495122308147,30.64503606557582,19.345861914681862
2010,17,137,Morgan,501.2093625279359,24.870774810338176,30.38742582606933,19.355113982281537
2010,17,107,Logan,395.78135140910155,24.578722359584148,30.16571888443972,18.99271868340218
2010,17,129,Menard,449.7488544073784,24.50877225039609,29.829760964173207,19.18877492026106
2010,17,167,Sangamon,431.0267409176409,24.831864073411886,30.187882963550756,19.47684618674599
2010,17,021,Christian,453.47929015977047,25.276243730097413,31.06016086306219,19.493326406211025
2010,17,127,Massac,191.7653485846035,26.79335001134152,32.644701279383376,20.94299258146917
2010,17,057,Fulton,524.5611074214563,24.58313158913618,30.14402258629268,19.023238365756917
2010,17,175,Stark,459.5569830855118,23.75483335973567,29.488192067846622,18.02248024144595
2010,17,203,Woodford,287.50620765014713,24.296954148154924,30.047128486594733,18.547772582750188
2010,17,179,Tazewell,362.8349306896269,24.450685183669943,29.93800597764579,18.96435497773668
2010,17,123,Marshall,370.3770763712325,24.177744191440677,29.848953931391623,18.507516799775328
2010,17,143,Peoria,395.92444172709116,24.308145197025464,29.812333502209263,18.80495592845651
2010,17,001,Adams,598.3339579580447,25.140061286271592,30.4023128768399,19.878801290363
2010,17,177,Stephenson,584.3829151159262,22.849234412440644,28.37994253030391,17.319515672760083
2010,17,141,Ogle,500.3669392358784,22.70190937833847,28.23572544845015,17.16908854293518
2010,17,201,Winnebago,465.0139630557491,22.79611197665535,28.243825428587197,17.34938307644428
2010,17,007,Boone,445.0223374491391,22.5709237879656,28.1770949955475,16.96575274979241
2010,17,025,Clay,364.6986489200525,26.04173238505707,32.03400265362895,20.05044908758048
2010,17,185,Wabash,292.759627547223,26.260795151049425,32.156671259610945,20.365920000286987
2010,17,009,Brown,543.557672908432,24.88062294290689,30.530438253724544,19.231812096263216
2010,17,151,Pope,214.52946839640455,26.296054772297637,32.290522055522395,20.302579377759763
2010,17,033,Crawford,350.63237984393135,25.782058975795987,31.912551293142812,19.652572893182874
2010,17,135,Montgomery,469.6565309647801,25.330573416334524,30.98902612692064,19.67311186126293
2010,17,055,Franklin,272.9608910391055,26.364017459104534,31.937845032811133,20.791168495476533
2010,17,023,Clark,377.4675550597247,25.57936932946568,31.821190812011938,19.338548529848598
2010,17,059,Gallatin,241.0550559180533,26.41968670920586,32.28529028723477,20.555076844714847
2010,17,075,Iroquois,337.11284194473234,23.93777004004982,30.09767077668397,17.77887112955762
2010,17,041,Douglas,385.0529268582463,24.765713826163317,30.435499525533015,19.096919292856903
2010,17,189,Washington,315.1967479600076,26.183995201562805,31.73562606097632,20.633355044066725
2010,17,159,Richland,353.8328848158666,25.963260127935932,31.932758935430105,19.994759921205308
2010,17,065,Hamilton,227.9493095040319,26.06792827398797,31.83939286554644,20.297459818449354
2010,17,193,White,223.81864940402338,26.237738879456284,32.1124478968664,20.36402482438462
2010,17,169,Schuyler,531.4447736897026,24.789395741624826,30.42676814080843,19.153017953188687
2010,17,181,Union,207.5978411584984,26.938986264835645,32.83471853916212,21.04425707531881
2010,17,085,Jo Daviess,617.9472723309887,22.846563040052263,28.39638279627915,17.29772846892848
2010,17,125,Mason,490.1395257296175,24.720160803267337,30.288120747705722,19.15317762215839
2010,17,191,Wayne,283.7839932579594,26.01941040295467,31.849802082674746,20.19002399829388
2010,17,069,Hardin,212.45103862054523,26.24019119257041,32.190901909714306,20.29046454336761
2010,17,061,Greene,436.6687300766582,25.166782637244133,30.677520959211204,19.657050962110084
2010,17,157,Randolph,276.8724010787824,26.603763659622423,32.51611027918127,20.69240669153938
2010,17,149,Pike,524.8381440461238,25.202181642606536,30.681228940576297,19.724119658747977
2010,17,145,Perry,335.95912262400805,26.427105991038854,31.949333393015745,20.90586343124064
2010,17,087,Johnson,253.04951005213434,26.55140866332732,32.460016016584355,20.643811093877794
2010,17,173,Shelby,424.64076260087086,25.332722645547992,31.17976640021056,19.48667509470375
2010,17,051,Fayette,404.41340824924276,25.55210355451421,31.30744999124342,19.79775858385714
2010,17,139,Moultrie,404.2930018909132,24.9732174157409,30.66548071634165,19.281944579845774
2010,17,017,Cass,528.0116693260675,24.796212573187063,30.373120550197715,19.22031519834248
2010,17,015,Carroll,530.3639975630996,23.11604797924095,28.85499271879153,17.37808577251288
2010,17,047,Edwards,300.5016335124293,26.376909714459973,32.45658853797329,20.29822350246943
2010,17,079,Jasper,392.94220044996564,25.683049604072938,31.650548034871758,19.716533857768848
2010,17,187,Warren,501.95083118619,24.053379759353145,29.473201261122632,18.63454745721129
2010,17,153,Pulaski,178.51427382755827,27.38469051362535,32.984318638174386,21.78606691302434
