year,period,state_fips,county_fips,county_name,ndvi_mean,crop_pixel_count
2010,jun,19,193,Woodbury,0.6614194909015536,15651
2010,jun,19,27,Carroll,0.7166252507357769,10470
2010,jun,19,61,Dubuque,0.7144504730778853,2831
2010,jun,19,101,Jefferson,0.6580230894916146,4861
2010,jun,19,187,Webster,0.6776870922265215,13218
2010,jun,19,111,Lee,0.5745574537576805,4995
2010,jun,19,127,Marshall,0.7385947209230893,10703
2010,jun,19,195,Worth,0.739557557269769,7619
2010,jun,19,33,Cerro Gordo,0.6907401463322865,9412
2010,jun,19,51,Davis,0.6594701488538972,3430
2010,jun,19,179,Wapello,0.652485916405328,4183
2010,jun,19,41,Clay,0.6451404966512544,12300
2010,jun,19,59,Dickinson,0.6165894128008033,7841
2010,jun,19,21,Buena Vista,0.6871092816489485,13396
2010,jun,19,13,Black Hawk,0.7262660668415785,9056
2010,jun,19,75,Grundy,0.7458943431190401,11417
2010,jun,19,17,Bremer,0.7263699969027132,6599
2010,jun,19,85,Harrison,0.7003376200220843,11245
2010,jun,19,129,Mills,0.7113528430601861,8643
2010,jun,19,155,Pottawattamie,0.6888524754909945,18822
2010,jun,19,123,Mahaska,0.6901250136030133,7922
2010,jun,19,125,Marion,0.6922769506957258,5502
2010,jun,19,53,Decatur,0.624733054950327,2987
2010,jun,19,31,Cedar,0.6862432884099189,9524
2010,jun,19,151,Pocahontas,0.6655715178388197,13444
2010,jun,19,109,Kossuth,0.6658384004562663,21243
2010,jun,19,89,Howard,0.7246921449241023,8393
2010,jun,19,147,Palo Alto,0.6417474149367721,11024
2010,jun,19,159,Ringgold,0.6486135272594599,4428
2010,jun,19,25,Calhoun,0.694933559607323,11609
2010,jun,19,39,Clarke,0.6356060338418791,2816
2010,jun,19,65,Fayette,0.7237368197178294,9526
2010,jun,19,1,Adair,0.6682488409330097,9197
2010,jun,19,37,Chickasaw,0.738051720363818,8175
2010,jun,19,81,Hancock,0.682547622617503,10914
2010,jun,19,157,Poweshiek,0.7037190183054971,9486
2010,jun,19,165,Shelby,0.7115268757953584,13100
2010,jun,19,185,Wayne,0.5866448756243418,4476
2010,jun,19,97,Jackson,0.7024204192010814,4451
2010,jun,19,43,Clayton,0.7373749857846984,4325
2010,jun,19,7,Appanoose,0.6244117292164024,2927
2010,jun,19,177,Van Buren,0.6258219949025903,3045
2010,jun,19,197,Wright,0.6419475972463918,12385
2010,jun,19,137,Montgomery,0.6949251875864646,7851
2010,jun,19,175,Union,0.6280411216648385,4504
2010,jun,19,107,Keokuk,0.6621909221901268,7542
2010,jun,19,131,Mitchell,0.7200949445948204,8194
2010,jun,19,191,Winneshiek,0.7561935350142349,6047
2010,jun,19,161,Sac,0.7038022369173007,12594
2010,jun,19,55,Delaware,0.7284388775901092,4577
2010,jun,19,67,Floyd,0.7012587808295784,8858
2010,jun,19,9,Audubon,0.673495563951252,9109
2010,jun,19,79,Hamilton,0.7032592363759952,10033
2010,jun,19,69,Franklin,0.6853350372895657,10416
2010,jun,19,141,O'Brien,0.6612315205667829,13453
2010,jun,19,167,Sioux,0.6663378791370327,14811
2010,jun,19,5,Allamakee,0.7507293544914504,2595
2010,jun,19,189,Winnebago,0.6797650411365427,7972
2010,jun,19,93,Ida,0.6983352165020937,9694
2010,jun,19,29,Cass,0.6874920176030728,9784
2010,jun,19,83,Hardin,0.747572468470089,9204
2010,jun,19,173,Taylor,0.6427155610079572,6841
2010,jun,19,145,Page,0.7251702077216109,9219
2010,jun,19,35,Cherokee,0.6849274853223053,12794
2010,jun,19,71,Fremont,0.6827640645797395,10023
2010,jun,19,95,Iowa,0.7086633391077986,7803
2010,jun,19,23,Butler,0.7160427868300936,10069
2010,jun,19,63,Emmet,0.636863867261047,8338
2010,jun,19,47,Crawford,0.7393327742133722,14192
2010,jun,19,19,Buchanan,0.7169624066726775,8314
2010,jun,19,143,Osceola,0.6403961873169997,9519
2010,jun,19,73,Greene,0.6988736108840311,10893
2010,jun,19,87,Henry,0.6208040352982669,5438
2010,jun,19,119,Lyon,0.643587382761815,12114
2010,jun,19,3,Adams,0.6507016679775933,5634
2010,jun,19,133,Monona,0.6837208080442095,12922
2010,jun,19,91,Humboldt,0.6549832386203964,9743
2010,jun,19,115,Louisa,0.6731048550587035,5600
2010,jun,19,171,Tama,0.7201309882113063,12295
2010,jun,19,135,Monroe,0.6653377448660067,2219
2010,jun,19,117,Lucas,0.6237402581736813,2281
2010,jun,19,57,Des Moines,0.6198848684656244,5290
2010,jun,19,11,Benton,0.7375502781642612,13231
2010,jun,19,113,Linn,0.7179492081797773,8957
2010,jun,19,105,Jones,0.6735411792767914,5887
2010,jun,19,103,Johnson,0.7001735945958929,7188
2010,jun,19,183,Washington,0.671342070578038,7441
2010,jun,19,45,Clinton,0.6760254335950376,9861
2010,jun,19,163,Scott,0.6790630092611866,5858
2010,jun,19,139,Muscatine,0.663868296878115,5757
2010,jun,19,169,Story,0.740238570887004,10373
2010,jun,19,15,Boone,0.7489238739160416,9180
2010,jun,19,121,Madison,0.6922351173358839,5943
2010,jun,19,181,Warren,0.6926994744120661,5107
2010,jun,19,49,Dallas,0.716652038794552,9324
2010,jun,19,153,Polk,0.7224253309504964,6019
2010,jun,19,77,Guthrie,0.6879207635582393,8021
2010,jun,19,99,Jasper,0.7170780076604026,12134
2010,jun,31,43,Dakota,0.6168055185811876,4326
2010,jun,31,51,Dixon,0.6218386226061889,7029
2010,jun,31,53,Dodge,0.6169769762196671,11038
2010,jun,31,25,Cass,0.6885568545298293,10817
2010,jun,31,55,Douglas,0.6517970906398707,2410
2010,jun,31,153,Sarpy,0.6534338689887573,3022
2010,jun,31,155,Saunders,0.653340877888825,14430
2010,jun,31,177,Washington,0.6562825046977294,7142
2010,jun,31,67,Gage,0.6357417735389634,12478
2010,jun,31,109,Lancaster,0.6531730062412169,10238
2010,jun,31,159,Seward,0.6931344625108403,9507
2010,jun,31,139,Pierce,0.6007364722153766,9135
2010,jun,31,119,Madison,0.5750678694830204,9772
2010,jun,31,167,Stanton,0.6058193038439051,6033
2010,jun,31,117,McPherson,0.4878132075471699,53
2010,jun,31,111,Lincoln,0.5241377399548593,3855
2010,jun,31,113,Logan,0.5104305145444105,355
2010,jun,31,7,Banner,0.44485,1
2010,jun,31,157,Scotts Bluff,,0
2010,jun,31,165,Sioux,,0
2010,jun,31,39,Cuming,0.6418846234306566,10795
2010,jun,31,129,Nuckolls,0.6223594836592208,4873
2010,jun,31,101,Keith,0.4636179284812686,1210
2010,jun,31,137,Phelps,0.6242337199103626,7886
