year,period,state_fips,county_fips,county_name,ndvi_mean,crop_pixel_count
2010,jun,31,139,Pierce,0.6498153846153846,39
2010,jun,31,119,Madison,0.5402967948717945,78
2010,jun,31,167,Stanton,0.5705079072980783,32
2010,jun,31,117,McPherson,0.5102,1
2010,jun,31,111,Lincoln,0.5829675974657588,1676
2010,jun,31,113,Logan,0.6212483333333334,30
2010,jun,31,007,Banner,0.4822067047794664,2487
2010,jun,31,157,Scotts Bluff,0.5325910152063915,589
2010,jun,31,165,Sioux,0.6043261366088475,239
2010,jun,31,039,Cuming,0.5720814897185358,54
2010,jun,31,129,Nuckolls,0.5624835052923329,2682
2010,jun,31,101,Keith,0.5352474240040066,3857
2010,jun,31,137,Phelps,0.595261423317762,201
2010,jun,31,181,Webster,0.5444892073618568,2412
2010,jun,31,015,Boyd,0.6961033762057874,311
2010,jun,31,171,Thomas,,0
2010,jun,31,089,Holt,0.6510309322033896,236
2010,jun,31,017,Brown,0.7542,1
2010,jun,31,103,Keya Paha,0.7163507639726581,15
2010,jun,31,077,Greeley,0.6506763157894738,19
2010,jun,31,095,Jefferson,0.5834208967159301,992
2010,jun,31,151,Saline,0.630873331950595,673
2010,jun,31,057,Dundy,0.5253237952895297,3100
2010,jun,31,131,Otoe,0.6287556646670981,229
2010,jun,31,087,Hitchcock,0.49850767351034964,5807
2010,jun,31,105,Kimball,0.44193634829446604,5537
2010,jun,31,127,Nemaha,0.6156008901953135,142
2010,jun,31,041,Custer,0.6432826643504697,363
2010,jun,31,143,Polk,0.611396875,64
2010,jun,31,045,Dawes,0.5933498668049312,3221
2010,jun,31,179,Wayne,0.6144666666666666,3
2010,jun,31,071,Garfield,0.615175,12
2010,jun,31,013,Box Butte,0.551757295069278,9052
2010,jun,31,173,Thurston,0.7048735849056603,53
2010,jun,31,011,Boone,0.6420499999999999,35
2010,jun,31,145,Red Willow,0.5193705542631486,4790
2010,jun,31,149,Rock,0.6505937500000001,8
2010,jun,31,005,Arthur,0.6595500000000001,1
2010,jun,31,085,Hayes,0.5451691237708162,2983
2010,jun,31,097,Johnson,0.6169360207768739,144
2010,jun,31,003,Antelope,0.5874184456576306,64
