year,period,state_fips,county_fips,county_name,edd_29c,gdd_10_30c,days_above_30c,days_above_35c,dry_days,heavy_rain_days
2010,jun,17,121,Marion,60.50633623035968,425.19087954333287,17.016144318441786,0.0,18.13598483610576,0.7932938984934153
2010,jun,17,005,Bond,59.28970636165154,425.41041011820596,17.384203546343144,0.0,16.78147256741491,1.7398202269266663
2010,jun,17,083,Jersey,54.0709264970978,418.979891999325,16.708868958644736,0.0,17.34554060787244,1.5175884404583957
2010,jun,17,163,St. Clair,74.11539304665104,438.76558061523417,19.198212880746315,0.3754917387883557,18.866640440597955,0.3175789591997303
2010,jun,17,027,Clinton,61.41660462837618,434.0031877234505,17.206972006338194,0.0,17.43152493774995,0.5243341130310116
2010,jun,17,013,Calhoun,58.753357090635355,415.9262525852105,17.136210205837582,0.00198557151366735,17.29452644119399,0.8946985240585081
2010,jun,17,119,Madison,64.28127859337339,435.816359507401,18.37064141196728,0.0,17.95566078346965,1.1611759641437291
2010,jun,17,133,Monroe,77.2838110686588,434.1995482052724,20.202584767990842,1.073489436787639,19.22724021174114,0.8266488626067051
2010,jun,17,117,Macoupin,44.452678553707386,415.7143666936081,14.22114258447925,0.0,16.899904567735216,2.184726499804798
2010,jun,17,171,Scott,42.45715757943642,403.66039688027087,13.801160996399439,0.0,15.117201851715777,3.1331471820119026
2010,jun,17,137,Morgan,39.177112199883304,404.6864179107533,13.714309060007846,0.0,15.450516407373508,2.628382795136619
2010,jun,17,107,Logan,27.968322624094167,393.5097160297756,10.830151474410684,0.0,15.962564608168265,3.398553972095246
2010,jun,17,129,Menard,25.361338129324345,393.562051315815,9.66965602690424,0.0,16.0185851672665,3.0490294412649708
2010,jun,17,167,Sangamon,32.04543148161452,402.90059457035153,11.688032738221448,0.0,16.865251685679148,2.5405411136084135
2010,jun,17,021,Christian,45.68490010913031,408.8515672695439,14.636016528061095,0.0,15.33299335739317,2.2759035514409756
2010,jun,17,127,Massac,81.25026445404812,448.1246699685813,23.70207150283932,0.22882508198032475,20.142605774614093,0.23258417979684873
2010,jun,17,057,Fulton,29.80692480135645,389.6406376607904,10.673359073359073,0.0,14.648272983408118,3.1783783783783783
2010,jun,17,175,Stark,18.943291615365432,369.498427808357,7.426629220654876,0.0,11.691389544903295,3.2301014872023996
2010,jun,17,203,Woodford,21.172348502094135,377.9229731788418,8.523387477252813,0.0,14.035249713553954,2.1267102513985305
2010,jun,17,179,Tazewell,21.661898203655923,384.4110337101153,8.246150831420415,0.0,15.014976765018758,2.4886624489110365
2010,jun,17,123,Marshall,19.802680810241206,375.34158996742264,7.545441957073621,0.0,12.046480498499884,2.87468266789753
2010,jun,17,143,Peoria,20.938041451376836,380.8986832721593,7.359324501383027,0.0,14.123394962876695,2.8526423060125214
2010,jun,17,001,Adams,39.9896370726515,403.54757174471206,13.689762107051822,0.0,13.794881053525902,3.3171835174171624
2010,jun,17,177,Stephenson,7.095310072849004,328.9172737362646,3.5166411629686305,0.0,9.601887273654677,1.5422086202499365
2010,jun,17,141,Ogle,5.643442638998818,328.6307756317441,2.1869150087013787,0.0,10.88323691265698,1.468580969850901
2010,jun,17,201,Winnebago,5.7687797260392895,323.6584694952831,2.2678983833718243,0.0,11.310054806797421,1.8127951466685048
