year,state_fips,county_fips,county_name,precip_sum_mm,tmean_c,tmax_c,tmin_c
2010,17,121,Marion,172.52399267008397,25.34524110512132,30.76264805913599,19.928835645712002
2010,17,005,Bond,249.72142097780608,25.34664845903423,30.71808827397068,19.976232271331703
2010,17,083,Jersey,193.24886760368855,25.135367538421733,30.44487479570558,19.82685011306329
2010,17,163,St. Clair,145.10696636704952,26.005880927160582,31.332557723189083,20.68020377047104
2010,17,027,Clinton,179.3151700645847,25.584663234170414,30.761871002057372,20.408427847526408
2010,17,013,Calhoun,164.0376963297634,25.150540158658515,30.596849947495176,19.705213164626755
2010,17,119,Madison,197.98399757504188,25.847816676465133,30.90992635887423,20.7867062369603
2010,17,133,Monroe,116.30841534705091,25.916564233461457,31.447200923593854,20.38692609214028
2010,17,117,Macoupin,210.6043857881851,24.86219499509661,30.048027942647384,19.677368925372033
2010,17,171,Scott,240.23047853992674,24.488917909210553,29.994231065336233,18.984584243390955
2010,17,137,Morgan,220.29917622918492,24.472603473870294,29.84044918744046,19.10575750684844
2010,17,107,Logan,240.17550359081176,24.057202282101777,29.381317054732808,18.734079134446098
2010,17,129,Menard,224.6092282149703,24.009669222700335,29.146917219689204,18.87341736011346
2010,17,167,Sangamon,212.54916774096358,24.38298977891946,29.538015928802686,19.228957480578668
2010,17,021,Christian,241.55113411737963,24.744080720944684,30.25033021942143,19.23883479780916
2010,17,127,Massac,105.31537173927173,26.164818814456208,31.67635293774611,20.654266577400815
2010,17,057,Fulton,289.97490952595774,24.064124522129056,29.538606782523303,18.590639065019296
2010,17,175,Stark,289.3767581554387,23.273891425843427,28.90185250978475,17.646946598729137
2010,17,203,Woodford,186.81633191840734,23.6608437242281,29.193233613723002,18.129441874298983
2010,17,179,Tazewell,235.0804107319983,23.85534956137402,29.15388812370594,18.5578010354155
2010,17,123,Marshall,241.3868281737867,23.555586918633452,29.02492441863626,18.087223125345957
2010,17,143,Peoria,256.8922950055802,23.749294087577564,29.13147166278933,18.368107840448754
2010,17,001,Adams,307.5789277690344,24.565224353600698,29.79330171084344,19.338141418171816
2010,17,177,Stephenson,225.7167976366787,22.09398821481968,27.645796499335006,16.5431713813484
2010,17,141,Ogle,224.12909790609226,22.01272720579852,27.49168572659764,16.5347724993676
2010,17,201,Winnebago,197.79945261858927,22.016515414062525,27.402133460720556,16.631894373268327
2010,17,007,Boone,192.89817421717004,21.81995646514379,27.307903366273095,16.333019580745315
2010,17,025,Clay,201.45798801724,25.568005500968802,31.26252688889537,19.87445812975857
2010,17,185,Wabash,182.17359047070372,25.822454718223657,31.464589810898133,20.18133988581185
2010,17,009,Brown,272.1766553498976,24.312252862277184,29.957441766476858,18.668056564068785
2010,17,151,Pope,118.0640425078973,25.69935049989588,31.328085841667537,20.071629537867484
2010,17,033,Crawford,219.19574585872763,25.413654841858857,31.231918077405158,19.596397309963507
2010,17,135,Montgomery,234.1381069144748,24.90822966675711,30.348553740546997,19.468899633187583
2010,17,055,Franklin,114.32925118381131,25.843292252570645,31.015098742876607,20.67248184998029
2010,17,023,Clark,226.65712739549014,25.117123684515775,31.01405795043295,19.22120062276376
2010,17,059,Gallatin,127.21925613987608,25.93196680193432,31.433955877663706,20.430978173142055
2010,17,075,Iroquois,245.91555391339074,23.322030321922647,29.174777808038836,17.47028479180524
2010,17,041,Douglas,232.034601339574,24.247374054747674,29.582325016855744,18.913407099995634
2010,17,189,Washington,147.55556995566147,25.69738961235516,30.895232131993954,20.50052705050237
2010,17,159,Richland,189.23976055037184,25.574474007793878,31.282085478955217,19.86786110438564
2010,17,065,Hamilton,123.82351972186702,25.6082616224547,31.002463352976704,20.215048614861335
2010,17,193,White,125.05048174108181,25.896870295206703,31.435460071304984,20.359267627914914
2010,17,169,Schuyler,241.07332616641654,24.22696310139154,29.787546285222586,18.667373455519275
2010,17,181,Union,124.47349043744049,26.50055532100627,32.063959525476626,20.938163118739773
2010,17,085,Jo Daviess,221.21463726293564,22.077315077585386,27.644388928830235,16.511214763835884
2010,17,125,Mason,235.0983975357234,24.206053935654573,29.640964160118866,18.772117384744867
2010,17,191,Wayne,154.68537458249992,25.58532073207212,31.14407876314613,20.027560628536293
2010,17,069,Hardin,103.37478646971347,25.631937557514373,31.18475533601694,20.08009866412466
2010,17,061,Greene,188.94496877300003,24.68183740291122,30.031394671101697,19.333283158126495
2010,17,157,Randolph,115.56358935497079,26.15567256062441,31.76913689756338,20.54319490448343
2010,17,149,Pike,243.69125891652715,24.563289410462364,29.98072286425205,19.146850031166295
2010,17,145,Perry,136.6049435601272,25.973914677315566,31.126014210964755,20.822797843202626
2010,17,087,Johnson,123.0306719806913,26.001733373220176,31.5414369880304,20.463036686282
2010,17,173,Shelby,255.35279191347806,24.740891151103874,30.307951288931665,19.174823637847638
2010,17,051,Fayette,252.1560108256839,25.069271476878015,30.59349083090897,19.54606055409407
2010,17,139,Moultrie,235.29026650371245,24.40539644131283,29.813156228747715,18.998632684942358
2010,17,017,Cass,244.172229972896,24.306587691723596,29.805376180234052,18.80880829499191
2010,17,015,Carroll,249.65913645148734,22.444389748025642,28.150829412305523,16.73893708094703
2010,17,047,Edwards,182.40329203575547,25.92645330022913,31.707102292725338,20.146795288748805
2010,17,079,Jasper,243.2400248542836,25.23370585610333,30.848507774593088,19.619882666011367
2010,17,187,Warren,362.6189423774408,23.597480769670458,28.97294813210996,18.22300291633612
2010,17,153,Pulaski,107.89019464387246,27.000744840317964,32.33767373355998,21.664809558726212
2010,17,165,Saline,148.13471599194807,25.669276412011843,31.11508900045735,20.224452374110918
2010,17,101,Lawrence,186.46804041253424,25.517812733402756,31.149426130671593,19.887187859169074
2010,17,045,Edgar,253.5634479161526,24.323696125199977,29.800325207873115,18.84806110644243
2010,17,071,Henderson,359.5870307422109,24.028695981460775,29.15907697840252,18.8992915302701
2010,17,199,Williamson,142.54853384814166,25.967207069798533,31.366971889369818,20.568434914347645
2010,17,077,Jackson,118.81595295827664,26.309825958199152,31.735955447329463,20.884705209841062
2010,17,147,Piatt,237.93853049056082,24.004966367045654,29.366577150443117,18.64435528294897
2010,17,053,Ford,225.1213824135644,23.226359423159177,28.974253930030788,17.47946776184675
2010,17,019,Champaign,253.7295278515349,23.944980220540593,29.46936074190575,18.421589360659624
2010,17,029,Coles,252.17583114588282,24.418574060841987,29.67887361247796,19.15926779575597
2010,17,035,Cumberland,262.7465028800433,24.900792457786757,30.49175271111565,19.31079871471508
2010,17,183,Vermilion,249.1921096226655,23.843604262642167,29.435637677235412,18.25255962724307
2010,17,115,Macon,255.22728782394648,24.52672268825278,29.82841823027087,19.226024785115392
2010,17,049,Effingham,261.86201993180094,25.141577856764037,30.70173007667403,19.582418315312225
2010,17,067,Hancock,385.851633695541,24.51240298729653,29.986983781623593,19.038816101452753
2010,17,095,Knox,337.51225312079276,23.305698624115916,28.655259129264497,17.95711782415818
