year,period,state_fips,county_fips,county_name,soil_moisture_vol
2010,jun,19,021,Buena Vista,0.3703695319092996
2010,jun,19,013,Black Hawk,0.3855479209328156
2010,jun,19,075,Grundy,0.38779368034176154
2010,jun,19,017,Bremer,0.3862937398725695
2010,jun,19,085,Harrison,0.37378163756699156
2010,jun,19,129,Mills,0.3803777482274803
2010,jun,19,155,Pottawattamie,0.37693223110965235
2010,jun,19,123,Mahaska,0.3757597201677621
2010,jun,19,125,Marion,0.3754703575746871
2010,jun,19,053,Decatur,0.37288498843652534
2010,jun,19,031,Cedar,0.3753767945547402
2010,jun,19,151,Pocahontas,0.38745030929644847
2010,jun,19,109,Kossuth,0.36828766191766404
2010,jun,19,089,Howard,0.3766497611401821
2010,jun,19,147,Palo Alto,0.3790447871721011
2010,jun,19,159,Ringgold,0.36320215178043924
2010,jun,19,025,Calhoun,0.38541394363131604
2010,jun,19,039,Clarke,0.3659198769852052
2010,jun,19,065,Fayette,0.3826936970039305
2010,jun,19,001,Adair,0.3693278816996205
2010,jun,19,037,Chickasaw,0.38419644433991207
2010,jun,19,081,Hancock,0.3696225045124882
2010,jun,19,157,Poweshiek,0.38052398195195924
2010,jun,19,165,Shelby,0.3734673484519812
2010,jun,19,185,Wayne,0.3803763451627598
2010,jun,19,097,Jackson,0.3827026541375856
2010,jun,19,043,Clayton,0.3845177180599654
2010,jun,19,007,Appanoose,0.38253576738855916
2010,jun,19,177,Van Buren,0.3815512439356305
2010,jun,19,197,Wright,0.38551860751938816
2010,jun,19,137,Montgomery,0.37789196873560377
2010,jun,19,175,Union,0.36012976319893186
2010,jun,19,107,Keokuk,0.3749266079909362
2010,jun,19,131,Mitchell,0.369983923577073
2010,jun,19,191,Winneshiek,0.38412446493744656
2010,jun,19,161,Sac,0.36032639011379486
2010,jun,19,055,Delaware,0.3808566655119222
2010,jun,19,067,Floyd,0.38064893750955364
2010,jun,19,009,Audubon,0.3748521108350771
2010,jun,19,079,Hamilton,0.3868300263633486
2010,jun,19,069,Franklin,0.38705528207140755
2010,jun,19,141,O'Brien,0.2687184927780337
2010,jun,19,167,Sioux,0.2941055541754395
2010,jun,19,005,Allamakee,0.3905598303289688
2010,jun,19,189,Winnebago,0.3579949457029055
2010,jun,19,093,Ida,0.32879578165843804
2010,jun,19,029,Cass,0.37424166598760933
2010,jun,19,083,Hardin,0.3879302910527996
2010,jun,19,173,Taylor,0.37095669534640685
2010,jun,19,145,Page,0.3765768341922028
2010,jun,19,035,Cherokee,0.29270993089575253
2010,jun,19,071,Fremont,0.37954469703188876
2010,jun,19,095,Iowa,0.3772316361042118
2010,jun,19,023,Butler,0.3874021707071611
2010,jun,19,063,Emmet,0.3700688435777642
2010,jun,19,047,Crawford,0.3763918521673822
2010,jun,19,019,Buchanan,0.3822237467167412
2010,jun,19,143,Osceola,0.31746676938222523
2010,jun,19,073,Greene,0.38039864964046904
2010,jun,19,087,Henry,0.38025015787993466
2010,jun,19,119,Lyon,0.35867298575468637
2010,jun,19,003,Adams,0.3719723231907563
2010,jun,19,133,Monona,0.3722282751258528
2010,jun,19,091,Humboldt,0.3854148313281932
2010,jun,19,115,Louisa,0.38008501101980785
2010,jun,19,171,Tama,0.38495224752479296
2010,jun,19,135,Monroe,0.37656880673688736
2010,jun,19,117,Lucas,0.37407184720106046
2010,jun,19,057,Des Moines,0.382002590392374
2010,jun,19,011,Benton,0.38289914644906337
2010,jun,19,113,Linn,0.3789740449360815
2010,jun,19,105,Jones,0.3772233415924559
2010,jun,19,103,Johnson,0.3737611741291446
2010,jun,19,183,Washington,0.37634862677214437
2010,jun,19,045,Clinton,0.38213201581789885
2010,jun,19,163,Scott,0.37948167986386977
2010,jun,19,139,Muscatine,0.3763004866395915
2010,jun,19,169,Story,0.3807636451635829
2010,jun,19,015,Boone,0.3788209989384352
2010,jun,19,121,Madison,0.3598248783507483
2010,jun,19,181,Warren,0.367819455791909
2010,jun,19,049,Dallas,0.3720661467354275
2010,jun,19,153,Polk,0.3732504530414303
2010,jun,19,077,Guthrie,0.37441457734684863
2010,jun,19,099,Jasper,0.3780986685673773
2010,jun,31,043,Dakota,0.3725271326827796
2010,jun,31,051,Dixon,0.3710873667443653
2010,jun,31,053,Dodge,0.3655014020232702
2010,jun,31,025,Cass,0.37935400317026446
2010,jun,31,055,Douglas,0.373295590615553
2010,jun,31,153,Sarpy,0.3770488843783628
2010,jun,31,155,Saunders,0.37327518828580347
2010,jun,31,177,Washington,0.3727011663034156
2010,jun,31,067,Gage,0.34822615261027795
2010,jun,31,109,Lancaster,0.37285326201369184
2010,jun,31,159,Seward,0.36667104556743685
2010,jun,31,139,Pierce,0.2979098310055326
2010,jun,31,119,Madison,0.309922838339812
2010,jun,31,167,Stanton,0.3478044743687959
2010,jun,31,117,McPherson,0.23089604164686273
2010,jun,31,111,Lincoln,0.23694127353245
2010,jun,31,113,Logan,0.24060310280818417
2010,jun,31,007,Banner,0.2936463580632028
2010,jun,31,157,Scotts Bluff,0.28898101034375373
2010,jun,31,165,Sioux,0.29361410053932735
2010,jun,31,039,Cuming,0.3654259532355383
