year,county_fips,county_name,ndvi_corn_mean,corn_pixel_count
2011,109,Kossuth,0.8105827204234113,28116
2011,089,Howard,0.8049572775519376,11838
2011,147,Palo Alto,0.7896585266215234,15989
2011,159,Ringgold,0.779489131324248,5964
2011,025,Calhoun,0.8260605449229408,16067
2011,039,Clarke,0.7540999745138427,4087
2011,065,Fayette,0.8074422844598796,17522
2011,001,Adair,0.7902432620567662,11095
2011,037,Chickasaw,0.8186024825262125,12996
2011,081,Hancock,0.8164597546578677,17563
2011,157,Poweshiek,0.8071739368310115,12987
2011,165,Shelby,0.8088873012668157,15882
2011,185,Wayne,0.7792765096168637,5767
2011,097,Jackson,0.791232885318185,9254
2011,043,Clayton,0.8032712137611584,13809
2011,007,Appanoose,0.7663206258040104,3637
2011,177,Van Buren,0.7348761348694685,4531
2011,197,Wright,0.8271877049017256,16136
2011,137,Montgomery,0.7953140137775196,8577
2011,175,Union,0.7649881052209828,5852
2011,107,Keokuk,0.7877759441427061,10125
2011,131,Mitchell,0.810273856459556,13666
2011,191,Winneshiek,0.7991434593404417,13970
2011,161,Sac,0.8112126716238438,15766
2011,055,Delaware,0.8133847044732445,18578
2011,067,Floyd,0.8242355664630441,13143
2011,009,Audubon,0.8112482723234894,11064
2011,079,Hamilton,0.8194824771627397,18058
2011,069,Franklin,0.8278193638655781,18025
2011,141,O'Brien,0.8057251007082152,15186
2011,167,Sioux,0.810424403228918,22784
2011,005,Allamakee,0.7940182623369229,6885
2011,189,Winnebago,0.8145053655908026,11300
2011,093,Ida,0.8093778090291431,11531
2011,029,Cass,0.8071197673038115,12850
2011,083,Hardin,0.8291692594872411,16707
2011,173,Taylor,0.7933519517486595,8300
2011,145,Page,0.7931921092767996,9732
2011,035,Cherokee,0.8191128199883089,13498
2011,071,Fremont,0.702040424566307,10069
2011,095,Iowa,0.8034585032129806,11009
2011,023,Butler,0.8243964947119601,15742
2011,063,Emmet,0.7906954127743413,10212
2011,047,Crawford,0.8169580844638017,18658
2011,019,Buchanan,0.8130480676835429,18092
2011,143,Osceola,0.819538231627899,10817
2011,073,Greene,0.8341344190039393,16067
2011,087,Henry,0.7526328389079937,7444
2011,119,Lyon,0.8087042341804926,15828
2011,003,Adams,0.7926466045173298,6956
2011,133,Monona,0.7487328653816661,16464
2011,091,Humboldt,0.8256742815845601,12287
2011,115,Louisa,0.7703471085151425,7545
2011,171,Tama,0.7983802865357644,15661
