year,state_fips,county_fips,county_name,ndvi_corn_mean,corn_pixel_count
2010,17,121,Marion,0.8197533155339847,6528
2010,17,005,Bond,0.8180978886941253,5764
2010,17,083,Jersey,0.8553888333634014,5769
2010,17,163,St. Clair,0.8175576637874785,8193
2010,17,027,Clinton,0.8113957154808441,7996
2010,17,013,Calhoun,0.8323782642978705,1765
2010,17,119,Madison,0.8225310219550059,8993
2010,17,133,Monroe,0.7876086010436789,4446
2010,17,117,Macoupin,0.8294240410205186,18350
2010,17,171,Scott,0.8001640245726275,5227
2010,17,137,Morgan,0.8240555337736101,13003
2010,17,107,Logan,0.8246460146500373,18199
2010,17,129,Menard,0.8205682988355983,7306
2010,17,167,Sangamon,0.8472391798354835,21518
2010,17,021,Christian,0.8505920194459836,19360
2010,17,127,Massac,0.8191456143919044,1977
2010,17,057,Fulton,0.7800652556925696,13031
2010,17,175,Stark,0.8203605423680491,8635
2010,17,203,Woodford,0.8357808362992478,12754
2010,17,179,Tazewell,0.7944968209982419,14184
2010,17,123,Marshall,0.8294080900407146,10021
2010,17,143,Peoria,0.7964802154181717,10113
2010,17,001,Adams,0.7475206458004914,13121
2010,17,177,Stephenson,0.8193185849830664,15485
2010,17,141,Ogle,0.839131244151463,22940
2010,17,201,Winnebago,0.8335233289320552,9730
2010,17,007,Boone,0.8406326917138348,7375
2010,17,025,Clay,0.7938317890297433,6535
2010,17,185,Wabash,0.8271136795553324,4554
2010,17,009,Brown,0.7688328154551941,3470
2010,17,151,Pope,0.8068185386404901,560
2010,17,033,Crawford,0.7762374705006105,7558
2010,17,135,Montgomery,0.8204382953099476,15598
2010,17,055,Franklin,0.816067271839258,3500
2010,17,023,Clark,0.7832803588592309,8753
2010,17,059,Gallatin,0.8298485091625246,5750
2010,17,075,Iroquois,0.8115656354400324,31335
2010,17,041,Douglas,0.8554493865280414,10434
2010,17,189,Washington,0.8042399045464051,8844
2010,17,159,Richland,0.7870070898209457,6408
2010,17,065,Hamilton,0.812539871679632,5711
2010,17,193,White,0.8209911717238123,8654
2010,17,169,Schuyler,0.7754356902507636,5494
2010,17,181,Union,0.7993605521810999,991
2010,17,085,Jo Daviess,0.828683811616084,7611
2010,17,125,Mason,0.7680294420223511,12925
2010,17,191,Wayne,0.8087446711443428,10822
2010,17,069,Hardin,0.8149816816816818,111
2010,17,061,Greene,0.837908063931309,10388
2010,17,157,Randolph,0.7904754408560772,5090
2010,17,149,Pike,0.806437880019535,14429
2010,17,145,Perry,0.7794401695717678,4225
2010,17,087,Johnson,0.8270040242575746,587
2010,17,173,Shelby,0.8395313405870836,16239
2010,17,051,Fayette,0.8205335183821505,10487
2010,17,139,Moultrie,0.8714700382006011,8583
2010,17,017,Cass,0.815330940153397,8288
2010,17,015,Carroll,0.8422290175107776,12984
2010,17,047,Edwards,0.8019005653885488,3905
2010,17,079,Jasper,0.7587189532601604,8503
2010,17,187,Warren,0.7987219442436992,14450
2010,17,153,Pulaski,0.8163991856034905,1784
2010,17,165,Saline,0.8136680008039126,3917
2010,17,101,Lawrence,0.8052847742268261,6909
2010,17,045,Edgar,0.862698803391798,15498
2010,17,071,Henderson,0.7680012928902908,9114
2010,17,199,Williamson,0.7981484232680198,1267
2010,17,077,Jackson,0.792392768082822,2713
2010,17,147,Piatt,0.8591588115028383,12289
2010,17,053,Ford,0.8246691728629786,13944
2010,17,019,Champaign,0.8490480830690724,25138
2010,17,029,Coles,0.8555720299804346,10872
2010,17,035,Cumberland,0.7869619011773713,6081
2010,17,183,Vermilion,0.8406618037891038,20561
2010,17,115,Macon,0.8546091174649068,15064
2010,17,049,Effingham,0.7980532976342731,7402
2010,17,067,Hancock,0.7258496208149717,14758
2010,17,095,Knox,0.7964579554423927,15406
2010,17,109,McDonough,0.7745530131294475,12654
2010,17,081,Jefferson,0.8046887134918614,4638
2010,17,113,McLean,0.8541836298109049,31461
2010,17,039,De Witt,0.8397175164678097,9778
2010,17,105,Livingston,0.8349520570140319,28291
2010,17,003,Alexander,0.7871009963520293,934
2010,17,093,Kendall,0.8268696257820429,7958
2010,17,031,Cook,0.6886120869671171,383
2010,17,037,DeKalb,0.8484441063398478,20840
2010,17,089,Kane,0.8357275485816301,8308
2010,17,063,Grundy,0.819899403767059,9989
2010,17,111,McHenry,0.8312474911117904,9330
2010,17,197,Will,0.7558036396949354,9896
2010,17,043,DuPage,0.7793178539104118,270
2010,17,097,Lake,0.7663674223923035,841
2010,17,091,Kankakee,0.8016809075021122,18732
2010,17,011,Bureau,0.8413499387595919,27865
2010,17,155,Putnam,0.8382079825077138,3667
2010,17,099,LaSalle,0.8246907320686475,30376
2010,17,131,Mercer,0.8160494101750183,13061
2010,17,161,Rock Island,0.8171584123508161,6704
2010,17,073,Henry,0.8115411610852646,22634
2010,17,103,Lee,0.8404041092471076,25632
2010,17,195,Whiteside,0.825970825391697,22583
