year,period,state_fips,county_fips,county_name,precip_sum_mm,tmean_c,tmax_c,tmin_c
2010,jun,17,121,Marion,131.3773488746142,25.381515549492963,30.731247836497296,20.03278111649469
2010,jun,17,5,Bond,189.2372064890858,25.360093295465862,30.676887207728267,20.044332061607182
2010,jun,17,83,Jersey,137.04550994013573,25.06903540892094,30.40609597888941,19.732971135335703
2010,jun,17,163,St. Clair,94.45770069520346,26.04692284659186,31.299022105914684,20.79581232388207
2010,jun,17,27,Clinton,123.85118406538422,25.695188865943702,30.774735483989726,20.61660072311116
2010,jun,17,13,Calhoun,117.91011379907336,25.031204546805252,30.56050138974049,19.50289192833428
2010,jun,17,119,Madison,137.02179062133942,25.800086932257056,30.86911043092397,20.732042744891967
2010,jun,17,133,Monroe,93.11858360483082,25.935436504468985,31.39364992613172,20.478224958221244
2010,jun,17,117,Macoupin,185.7025290513137,24.80875485112899,29.982137020800952,19.63639340859682
2010,jun,17,171,Scott,213.61473388017723,24.358175249959572,29.860553638582424,18.85676949113022
2010,jun,17,137,Morgan,200.4112018585535,24.352351873275396,29.729071902081714,18.976634009427727
2010,jun,17,107,Logan,227.3786241051264,23.841980124869018,29.099400819866933,18.585540849098095
2010,jun,17,129,Menard,204.16607460878845,23.80776902996154,28.929027875058168,18.687509148161244
2010,jun,17,167,Sangamon,199.7059144785904,24.2142037462073,29.36140887651637,19.068005516573457
2010,jun,17,21,Christian,231.911153007636,24.589557888530415,30.06190930179015,19.11819831591358
2010,jun,17,127,Massac,79.72712423391532,26.42895544562103,31.689749060597773,21.169140259456626
2010,jun,17,57,Fulton,234.42009915103833,23.7234014002973,29.225403997577907,18.222391104496655
2010,jun,17,175,Stark,253.9112799071975,22.893641783585913,28.45077865633699,17.337493253315753
2010,jun,17,203,Woodford,159.4998634822828,23.2148564158002,28.68269980705,17.748011941801163
2010,jun,17,179,Tazewell,201.97339085170125,23.451234254943294,28.7128129682738,18.19064316280505
2010,jun,17,123,Marshall,198.6548381648729,23.11461647266113,28.50690215537985,17.72330688319855
2010,jun,17,143,Peoria,212.4667456775727,23.316473704665867,28.670540155956953,17.963406525957726
2010,jun,17,1,Adams,239.60721189911112,24.329834718833865,29.629004325072664,19.03166345034804
2010,jun,17,177,Stephenson,197.9825173098397,21.37170592718846,26.923525024329923,15.820882259993729
2010,jun,17,141,Ogle,189.43847751807832,21.356120736504437,26.842732707519225,15.870509098459909
2010,jun,17,201,Winnebago,182.40189560143693,21.180236654606063,26.579266356738117,15.782196590413983
2010,jun,17,7,Boone,174.5112470801204,20.959767851932845,26.41509121576501,15.505462605457652
2010,jun,17,25,Clay,148.80038654990713,25.56992069313392,31.13974575344002,20.00107360302166
2010,jun,17,185,Wabash,110.7104989924972,26.043339639228805,31.62728868526636,20.460413565880163
