state_fips,county_fips,county_name,elevation_m,slope_deg
17,121,Marion,163.16704775264864,2.3810851094059444
17,005,Bond,164.03335020544318,2.228290119573177
17,083,Jersey,178.28405429267303,4.378062211313636
17,163,St. Clair,144.39754025597222,3.0206741197774707
17,027,Clinton,138.42610169639795,1.8582164511982109
17,013,Calhoun,172.36892337344216,5.821285138889431
17,119,Madison,157.75520763491178,2.9262695863991643
17,133,Monroe,157.60982474654,3.6182808363874446
17,117,Macoupin,191.38628274982727,2.4485742784761726
17,171,Scott,165.0045480823483,2.5348106582096923
17,137,Morgan,188.4374993857968,2.1761208183077856
17,107,Logan,182.0259924513492,2.078336430296787
17,129,Menard,175.30282296650827,2.1437827688249325
17,167,Sangamon,182.36885178332818,2.2489072896013265
17,021,Christian,187.99371257041165,1.9560534234496094
17,127,Massac,119.76778110251996,3.3816112573794426
17,057,Fulton,184.64898650551797,3.158873774926853
17,175,Stark,220.5115635242816,2.2002714366860365
17,203,Woodford,217.11913881930172,2.0995690621355325
17,179,Tazewell,188.8064887949077,2.213369980951493
17,123,Marshall,202.40966661433617,2.429652112179102
17,143,Peoria,200.14993241567802,2.9370264586441746
17,001,Adams,201.1288649904863,3.109852193771446
17,177,Stephenson,264.95391271379395,2.839714378445
17,141,Ogle,248.5357397621852,2.6932497647537765
17,201,Winnebago,245.10928750366708,2.5697248088017473
17,007,Boone,263.4716522091644,2.2826164942195257
17,025,Clay,148.33027762481083,2.7054810378267145
17,185,Wabash,130.4587666004258,2.496657643143646
17,009,Brown,193.2793790366868,3.522638508915776
17,151,Pope,159.39161388851832,5.113788571676683
17,033,Crawford,154.06024371661528,2.4931408129980577
17,135,Montgomery,194.24862952314953,2.1899302378961334
17,055,Franklin,132.81506858699132,2.7597841603016153
17,023,Clark,179.88702861153155,2.5737274677988977
17,059,Gallatin,118.52872375267182,2.7658774442371747
17,075,Iroquois,203.4780698799007,1.746051631975748
17,041,Douglas,201.0879701557252,1.4193304712999275
17,189,Washington,148.17314967964143,2.1442075909962672
17,159,Richland,144.96126373420537,2.6910789223619385
17,065,Hamilton,132.82515604012127,2.5381093361456095
17,193,White,121.91253312531431,2.540736348228239
17,169,Schuyler,180.05381347647167,3.29518093357012
17,181,Union,155.82474159081622,5.882266002719432
17,085,Jo Daviess,256.79087372426847,5.056325087536416
17,125,Mason,153.63047987769565,1.9862301240204627
17,191,Wayne,132.24139938674327,2.5451348621263756
17,069,Hardin,148.9146707361112,5.341935197850622
17,061,Greene,166.36029551484782,2.7025838298204765
17,157,Randolph,142.83592227118376,3.267355110526534
17,149,Pike,185.34320584828998,3.510343422029621
17,145,Perry,141.47134624346512,3.5888326758499463
17,087,Johnson,155.63683661507153,5.03438572996981
17,173,Shelby,194.83734523878104,2.164587378931289
17,051,Fayette,169.69591106500917,2.3252308206300114
17,139,Moultrie,202.91320769963903,1.7619082554623728
17,017,Cass,165.3193426788665,2.395750374266014
17,015,Carroll,234.94622639481204,3.2520794013763257
17,047,Edwards,133.69846831774137,2.784534980942313
17,079,Jasper,161.093934586909,2.761123367916903
17,187,Warren,217.71367727311574,2.479064220304356
17,153,Pulaski,111.59654215745785,3.7141551754371465
17,165,Saline,127.46582083568538,3.0364979446377207
17,101,Lawrence,138.44425072176304,2.7832198545717173
