year,county_fips,county_name,precip_sum_mm,tmean_c,tmax_c,tmin_c
2010,149,Plymouth,553.0272244701899,22.68434779734842,28.565062040457015,16.80462858860051
2010,193,Woodbury,526.8457861165996,22.92030890324777,28.75196233496521,17.089653647248664
2010,027,Carroll,594.7771824917717,22.607702880854113,28.083463768131324,17.13293419369465
2010,061,Dubuque,570.8562487892933,22.44461391966297,27.621758121257237,17.26845837993506
2010,101,Jefferson,670.9618820940079,24.524414155864477,30.227401231624178,18.8224293805597
2010,187,Webster,664.6934487426,22.80677068637143,28.20455700184152,17.40998350300881
2010,111,Lee,643.4777123594761,24.93732673723668,30.15875779778994,19.716887940336157
2010,127,Marshall,538.8505080621081,22.92106251334529,28.199771347707127,17.643360211342625
2010,195,Worth,440.26264441639205,21.689882653386302,26.95058616094642,16.4301713388376
2010,033,Cerro Gordo,422.5824078152132,22.057107949170675,27.597568200015264,16.517640320528276
2010,051,Davis,679.0118080989615,24.227800663231783,29.666252623418657,18.79035754983574
2010,179,Wapello,777.9343271741719,24.108549173744517,29.450166729759022,18.76792673264365
2010,041,Clay,600.4748592036252,22.323750112038777,28.01877114148416,16.62971302738512
2010,059,Dickinson,472.2533741496525,22.337715081947657,27.981472654770048,16.694974349138153
2010,021,Buena Vista,640.1852963219169,22.514474892432638,28.16409826238862,16.865824084966444
2010,013,Black Hawk,616.6346883204603,22.657893568610067,27.98031968599187,17.336462823150278
2010,075,Grundy,557.1878347055845,22.726957394229114,28.118649963023973,17.336263189072934
2010,017,Bremer,588.5089584601731,22.332443013069437,27.751249493343945,16.914636068655536
2010,085,Harrison,597.6336320807835,23.42826799045011,29.2081582438816,17.649372634067863
2010,129,Mills,452.38324651384295,24.372703375939192,29.915843619487045,18.83054698281881
2010,155,Pottawattamie,547.8111403945393,23.80525016509762,29.437394613580317,18.174094416189533
2010,123,Mahaska,809.0582165713485,23.76426436427389,29.062021582866702,18.467492712580643
2010,125,Marion,855.9958130973005,24.117766992261252,29.26971139877309,18.966801126360444
2010,053,Decatur,541.913077862219,23.831255155526282,29.378224366379754,18.285282914729077
2010,031,Cedar,519.34323506831,23.190886983850508,28.529202064293923,17.85357566779912
2010,151,Pocahontas,605.8189786954962,22.631451721737907,28.172342987407678,17.091546819061122
2010,109,Kossuth,470.15635850539934,22.394789019824273,27.89629011710693,16.89427718343125
2010,089,Howard,440.75299931569947,21.285257483204738,26.88164383456673,15.689882960596506
2010,147,Palo Alto,579.1307691078769,22.369949662409546,27.980441318693725,16.760455030385277
2010,159,Ringgold,526.3144011929497,23.8844276107567,29.296847546017283,18.472988539075406
2010,025,Calhoun,664.4977097793314,22.635358314862433,28.012027656811377,17.259670275637603
2010,039,Clarke,572.4472372263162,23.842781946897734,29.39431497438822,18.29225415977322
2010,065,Fayette,562.5110391108784,21.913034189940824,27.36775377270511,16.45930919447678
2010,001,Adair,598.0096597936775,23.437460742339923,29.002336102283724,17.873585575140893
2010,037,Chickasaw,451.2054302682644,21.723558796884443,27.201800042753295,16.24631308726645
2010,081,Hancock,446.1492257089145,22.217920980908012,27.660759472883164,16.77606939763704
2010,157,Poweshiek,644.8688407535088,23.369292757941942,28.795417914546647,17.9441499490902
2010,165,Shelby,641.1961901954121,22.780881224823492,28.441839004799654,17.120934933424905
2010,185,Wayne,677.881377452272,23.746117740149625,29.230963234770286,18.262279327402148
2010,097,Jackson,499.7788470335003,22.699307287162988,28.088548988381973,17.311085492255188
2010,043,Clayton,487.16157404774515,22.212031408920964,27.550193349973913,16.874862975770284
2010,007,Appanoose,818.7952953438748,23.971495555090772,29.265004588441784,18.678979568718923
2010,177,Van Buren,640.205538734521,24.691807757876862,30.421635730792513,18.962976138558222
2010,197,Wright,670.5068268825562,22.915276872585466,28.459624693998897,17.37193229332884
2010,137,Montgomery,489.82885743239456,23.82611104232843,29.493851855285186,18.159358315001757
2010,175,Union,557.3883067883646,23.69374830533352,29.129209209070773,18.259284526406997
2010,107,Keokuk,724.1607239402332,23.76045803254181,29.1877021076668,18.33421352854074
2010,131,Mitchell,451.42576525261967,21.566314011380925,26.980752187269655,16.152874263248005
2010,191,Winneshiek,428.84943639315924,21.776760810910236,27.222586740071524,16.331926592666292
