year,state_fips,county_fips,county_name,pct_continuous,rotation_pixel_count
2010,19,21,Buena Vista,0.0573151259312464,9923
2010,19,13,Black Hawk,0.040537970210615,6851
2010,19,75,Grundy,0.0734095739371444,8712
2010,19,17,Bremer,0.0426932193075173,4965
2010,19,85,Harrison,0.0408658567509623,8610
2010,19,129,Mills,0.0718469870925572,6646
2010,19,155,Pottawattamie,0.0491728018121611,14647
2010,19,123,Mahaska,0.0581821480286266,5991
2010,19,125,Marion,0.0660756662908042,4207
2010,19,53,Decatur,0.1345618824186079,2289
2010,19,31,Cedar,0.0328958521357682,7386
2010,19,151,Pocahontas,0.0392402878331476,10082
2010,19,109,Kossuth,0.0564218120796939,15733
2010,19,89,Howard,0.0566905882166563,6243
2010,19,147,Palo Alto,0.0390496093987192,8281
2010,19,159,Ringgold,0.0675178491863418,3343
2010,19,25,Calhoun,0.0217795481126771,8797
2010,19,39,Clarke,0.1052769589838484,2138
2010,19,65,Fayette,0.0576427511743919,7172
2010,19,1,Adair,0.0657907191100874,7024
2010,19,37,Chickasaw,0.051253831437329,6164
2010,19,81,Hancock,0.0406012276273631,8131
2010,19,157,Poweshiek,0.0438353297251806,7218
2010,19,165,Shelby,0.0556372628308256,10073
2010,19,185,Wayne,0.1080738203013939,3418
2010,19,97,Jackson,0.0266813392986,3301
2010,19,43,Clayton,0.0446093742103082,3140
2010,19,7,Appanoose,0.1541240544300101,2192
2010,19,177,Van Buren,0.0543207322749133,2304
2010,19,197,Wright,0.0338669871726326,9270
2010,19,137,Montgomery,0.0577403855357108,6237
2010,19,175,Union,0.0761653284967859,3472
2010,19,107,Keokuk,0.0470173428021086,5682
2010,19,131,Mitchell,0.0519478119821798,6018
2010,19,191,Winneshiek,0.0523162272648167,4473
2010,19,161,Sac,0.0515505418238449,9383
2010,19,55,Delaware,0.027481469135288,3429
2010,19,67,Floyd,0.0622345790581833,6661
2010,19,9,Audubon,0.0476937335139373,7106
2010,19,79,Hamilton,0.0382575455168096,7568
2010,19,69,Franklin,0.0475891534052679,7840
2010,19,141,O'Brien,0.0540813818154624,9959
2010,19,167,Sioux,0.0467845407029763,10753
2010,19,5,Allamakee,0.0537327348860351,1903
2010,19,189,Winnebago,0.0433324460649199,5930
2010,19,93,Ida,0.0544726340593692,7371
2010,19,29,Cass,0.0437716289239598,7603
2010,19,83,Hardin,0.0477103965063941,6846
2010,19,173,Taylor,0.0737605804111245,5334
2010,19,145,Page,0.0608330187547289,7225
2010,19,35,Cherokee,0.066428882309995,9564
2010,19,71,Fremont,0.0960843701764303,7803
2010,19,95,Iowa,0.0724144878841972,5882
2010,19,23,Butler,0.0487168037859369,7643
2010,19,63,Emmet,0.0486474067750294,6211
2010,19,47,Crawford,0.0466310834251349,10721
2010,19,19,Buchanan,0.0404066955729492,6218
2010,19,143,Osceola,0.0550479201278173,6976
2010,19,73,Greene,0.025724409395473,8219
2010,19,87,Henry,0.0510926045227761,4219
2010,19,119,Lyon,0.0581957343729435,8913
2010,19,3,Adams,0.0446635056157958,4340
2010,19,133,Monona,0.0452897907398678,9787
2010,19,91,Humboldt,0.0648548121083364,7237
2010,19,115,Louisa,0.0536458841483057,4331
2010,19,171,Tama,0.067554396715991,9530
