year,county_fips,county_name,yield_bu_acre,ndvi_corn_mean,corn_pixel_count,precip_sum_mm,tmean_c,tmax_c,tmin_c
2010,001,ADAIR,139.1,0.7917527783059402,9303,598.0096597936775,23.437460742339923,29.002336102283724,17.873585575140893
2011,001,ADAIR,152.8,0.7902432620567662,11095,358.91027766155776,23.5308884834471,29.086062679287735,17.976708550861783
2012,001,ADAIR,104.4,0.6972772834952731,10857,178.94994198013208,24.139327524981667,31.139548084483646,17.14008831391214
2013,001,ADAIR,137.8,0.7263765331077126,11384,145.29190881033765,22.18281962862041,28.128630532848614,16.23799867801962
2014,001,ADAIR,169.3,0.8047600299348244,10893,624.5963097338275,21.605510700896012,26.92075536821341,16.291272065360644
2015,001,ADAIR,176.5,0.7985820427275773,10843,450.3689224599439,21.80999373172258,27.17160054857088,16.44938662973188
2016,001,ADAIR,190.3,0.8123933174592112,11406,346.0974094438762,23.132489563263423,28.79460152345581,17.47138704081101
2017,001,ADAIR,175.2,0.7845133620817089,10963,267.5350072323165,22.54180121177575,28.844212256578125,16.24039677579913
2018,001,ADAIR,149.5,0.7745642601057261,10909,416.605539741573,23.025853060412988,28.886247187739684,17.16645040930564
2019,001,ADAIR,176.5,0.7798959637961568,10647,303.63136839773307,22.199984953037127,27.680337038187776,16.719732676850416
2020,001,ADAIR,168.7,0.7534858303995676,10447,160.13540703858138,23.47156527117335,29.577376699500903,17.365855992062922
2022,001,ADAIR,164.2,0.7536447008058177,9867,235.1082325946899,23.45875277338901,29.82787177495377,17.08977605881485
2010,003,ADAMS,139.3,0.7908824888812318,6306,514.4541570469088,23.46051473454514,28.942869567045573,17.979175429188366
2011,003,ADAMS,151.7,0.7926466045173298,6956,381.0327445513456,23.621717133859462,29.15662527722061,18.08781491981082
2012,003,ADAMS,109.8,0.7205773206559682,6894,230.66726756592695,24.073999840448064,31.13207432949757,17.016926916634667
2013,003,ADAMS,147.6,0.7451949961175124,7247,196.90318771843056,22.053284131569967,27.967554145652844,16.140009380836712
2014,003,ADAMS,169.9,0.8159143922751261,7189,562.8049621757426,21.596739663770254,26.890737954663702,16.30374455925603
2015,003,ADAMS,169.6,0.7776113705261949,6990,545.1434207874946,21.87222944464784,27.23697171775687,16.50848576855902
2016,003,ADAMS,187.4,0.8145073413529137,7311,442.3477280327263,23.11688808787052,28.72422881110926,17.510533143328114
2017,003,ADAMS,179.9,0.7946319703568321,7164,290.47330409799747,22.405569111622405,28.715309010241313,16.096828676317447
2018,003,ADAMS,171.6,0.7997100459416212,6913,399.9063550883532,23.013924698292033,28.968097802174356,17.060754239087075
2020,003,ADAMS,173.3,0.7707516813315759,6565,196.10500624127317,23.48696563099917,29.53004267951984,17.443987712104768
2010,005,ALLAMAKEE,175.8,0.8191112432198041,5370,482.7757855132862,22.206473412954015,27.34234893782664,17.07159300964776
2011,005,ALLAMAKEE,173.3,0.7940182623369229,6885,226.44541761384264,22.225926219002385,27.71459834544771,16.738256194367803
2012,005,ALLAMAKEE,153.6,0.7687033925819504,5576,183.34411298736697,22.767667762150527,29.13257364295935,16.40376210263218
2013,005,ALLAMAKEE,162.1,0.7460772223966209,5163,440.7099572861518,21.03427732739209,26.52765628090713,15.541899872087038
2014,005,ALLAMAKEE,175.6,0.8022014147053831,5683,408.6910169697453,20.985138346354848,26.3376770293186,15.633591975928944
2015,005,ALLAMAKEE,175.4,0.8003748588688065,5762,276.4821846979455,20.49915233388942,26.01513456823219,14.984169884856405
2016,005,ALLAMAKEE,205.1,0.8277107963042215,5742,585.7061256338806,21.735104756681498,27.05409869295027,16.417104537695018
2017,005,ALLAMAKEE,190.5,0.7896454687180691,5770,259.56393799340793,20.91043719755851,26.51187293265893,15.30999911210924
2018,005,ALLAMAKEE,198.4,0.7959724955046429,5827,429.9930484701026,21.728849334182787,27.00099569567889,16.457692814377122
2019,005,ALLAMAKEE,187.2,0.7826265044167998,6937,358.00296880290796,21.03265813592069,26.4759599677536,15.589456085546344
2020,005,ALLAMAKEE,196.3,0.7750581392635955,7014,336.84588827363837,21.99579301729913,27.96205548588711,16.029631661513275
2021,005,ALLAMAKEE,198.5,0.8222691531278662,7326,403.8713284421591,22.10335991166424,28.140788083295277,16.110154946154918
2022,005,ALLAMAKEE,215.9,0.7965809207177884,5964,497.39190899624634,21.169382417840417,26.850346799080793,15.488562395587437
2023,005,ALLAMAKEE,183.9,0.7979489714609956,6218,166.1930630035077,21.161007269124003,27.84842179234539,14.473736164259051
