year,state_fips,county_fips,county_name,corn_yield_bu_acre,soybeans_yield_bu_acre,state_alpha,corn_price_per_bu,corn_ers_basis_cost_per_acre,corn_cost_escalation_ratio,corn_cost_per_acre,corn_revenue_per_acre,corn_profit_per_acre,corn_cost_basis_year,corn_ers_basis_price_per_bu,corn_price_vs_ers_basis_pct,corn_ers_baseline_net_value,soybeans_price_per_bu,soybeans_ers_basis_cost_per_acre,soybeans_cost_escalation_ratio,soybeans_cost_per_acre,soybeans_revenue_per_acre,soybeans_profit_per_acre,soybeans_cost_basis_year,soybeans_ers_basis_price_per_bu,soybeans_price_vs_ers_basis_pct,soybeans_ers_baseline_net_value,profit_edge_crop,profit_edge_dollars
2026,31,145,Red Willow,102.52236331288785,55.17090817428924,NE,4.25,772.8,1.097906819716408,848.46239027684,435.72004407977334,-412.74234619706664,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,639.9825348217552,67.50098181702867,2025,9.37,23.799359658484533,-107.05,soybeans,480.2433280140953
2026,31,085,Hayes,138.16272819297623,59.514268036208065,NE,4.25,772.8,1.097906819716408,848.46239027684,587.191594820149,-261.27079545669096,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,690.3655092200136,117.88395621528707,2025,9.37,23.799359658484533,-107.05,soybeans,379.15475167197803
2026,31,135,Perkins,127.72869197186917,55.58348803711738,NE,4.25,772.8,1.097906819716408,848.46239027684,542.846940880444,-305.615449396396,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,644.7684612305616,72.28690822583508,2025,9.37,23.799359658484533,-107.05,soybeans,377.9023576222311
2026,31,101,Keith,130.72187270721895,53.9244060315711,NE,4.25,772.8,1.097906819716408,848.46239027684,555.5679590056806,-292.8944312711594,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,625.5231099662248,53.04155696149826,2025,9.37,23.799359658484533,-107.05,soybeans,345.9359882326577
2026,31,063,Frontier,134.46085198500262,55.144986664097665,NE,4.25,772.8,1.097906819716408,848.46239027684,571.4586209362611,-277.00376934057886,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,639.6818453035329,67.2002922988064,2025,9.37,23.799359658484533,-107.05,soybeans,344.20406163938526
2026,17,045,Edgar,180.82068699977904,69.27637236009426,IL,4.36,947.29,1.097906819716408,1040.036151249156,788.3781953190366,-251.65795593011944,2025,3.92,11.224489795918378,-108.05,11.8,697.51,1.097906819716408,765.8009858203917,817.4611938491123,51.660208028720604,2025,9.8,20.408163265306122,-110.15,soybeans,303.31816395884005
2026,31,029,Chase,152.13501174563336,57.0202175355557,NE,4.25,772.8,1.097906819716408,848.46239027684,646.5737999189417,-201.88859035789824,2025,3.71,14.555256064690028,1.83,11.6,521.43,1.097906819716408,572.4815530047265,661.4345234124461,88.95297040771959,2025,9.37,23.799359658484533,-107.05,soybeans,290.8415607656178
2026,17,139,Moultrie,179.499262736348,66.6461983698476,IL,4.36,947.29,1.097906819716408,1040.036151249156,782.6167855304773,-257.4193657186788,2025,3.92,11.224489795918378,-108.05,11.8,697.51,1.097906819716408,765.8009858203917,786.4251407642017,20.624154943810026,2025,9.8,20.408163265306122,-110.15,soybeans,278.04352066248885
2026,17,063,Grundy,179.11948163466366,65.55722712665512,IL,4.36,947.29,1.097906819716408,1040.036151249156,780.9609399271336,-259.0752113220225,2025,3.92,11.224489795918378,-108.05,11.8,697.51,1.097906819716408,765.8009858203917,773.5752800945305,7.774294274138811,2025,9.8,20.408163265306122,-110.15,soybeans,266.8495055961613
2026,17,113,McLean,195.56000396819113,71.55605329046423,IL,4.36,947.29,1.097906819716408,1040.036151249156,852.6416173013133,-187.39453394784277,2025,3.92,11.224489795918378,-108.05,11.8,697.51,1.097906819716408,765.8009858203917,844.361428827478,78.56044300708629,2025,9.8,20.408163265306122,-110.15,soybeans,265.95497695492907
