year,state_fips,state_alpha,county_fips,county_name,yield_bu_acre,ndvi_jun,ndvi_jul,ndvi_aug,precip_sum_jun,precip_sum_jul,precip_sum_aug,tmean_jun,tmean_jul,tmean_aug,tmax_jun,tmax_jul,tmax_aug,tmin_jun,tmin_jul,tmin_aug,soil_moisture_jun,soil_moisture_jul,soil_moisture_aug,soil_organic_carbon,soil_ph,soil_clay_pct,soil_sand_pct,soil_water_content_33kpa,elevation_m,slope_deg,pct_continuous
2023,37,NC,069,FRANKLIN,28.6,0.6639319519610085,0.7271549908510749,0.8022888144703811,55.40961162306664,134.34177307244974,118.1574834271252,22.138770195300513,26.71192135761461,25.631114577553312,28.18783997150902,32.32954353236903,31.274866834896734,16.08984509869471,21.09443931658013,19.98750495209358,0.3751057825460758,0.4105535460261347,0.3400679914032776,6.000491384510319,53.4465652253701,14.29411987892707,47.65493935900101,21.870393579944466,97.98010676394031,3.5636235739044775,0.581281723478855
2024,37,NC,069,FRANKLIN,27.3,0.6415914093920383,0.7807972736999466,0.815370980096148,18.52605607492042,308.6500654971327,215.2670330661701,25.469935649052314,26.493848204339383,24.83885919245617,31.963805921673263,31.63910567420192,30.50261241987948,18.97606515669489,21.348590578006988,19.17510584747309,0.320977369668497,0.4363423820635166,0.4149711122822286,6.000491384510319,53.4465652253701,14.29411987892707,47.65493935900101,21.870393579944466,97.98010676394031,3.5636235739044775,0.4124873975405996
2025,37,NC,069,FRANKLIN,22.3,0.7134192421562597,0.8091644595369263,0.8325019385643586,109.3705294912478,126.68739647773911,176.83404198703892,25.9938865268599,27.67734122183932,23.129675587524183,31.8502837481438,33.175333933386504,28.10020922340121,20.137489381284777,22.17933356602635,18.159112562310924,0.4390228617392137,0.4354538926658368,0.4251354788263833,6.000491384510319,53.4465652253701,14.29411987892707,47.65493935900101,21.870393579944466,97.98010676394031,3.5636235739044775,0.4280176672027075
2010,37,NC,073,GATES,31.6,0.6326176286630256,0.7804511184745685,0.8224445759537373,76.07488563686285,60.91007469149805,126.58594341532546,27.13950021340802,27.85414280937818,26.517816136872895,33.52044366576931,34.503170069745835,32.63126811430822,20.75953504338173,21.206105004726496,20.4053681783929,0.344107146973847,0.3095839215609638,0.3115678074822973,5.689271618785666,49.797886197255266,14.370154831595164,54.72636928587766,18.48465362850508,17.246361510613458,4.010364204866348,0.4469431823484742
2011,37,NC,073,GATES,36.8,0.6494593163837759,0.7717045169761672,0.8357557587385829,69.66347711035029,98.35343485004071,304.4365450440698,25.12627940460042,27.45843191288713,25.49810386058696,32.065414686088886,34.25265945410679,32.172145479358214,18.188151624615784,20.66518241977041,18.825050371496655,0.2736593458946829,0.3507070086730566,0.3488207484972651,5.689271618785666,49.797886197255266,14.370154831595164,54.72636928587766,18.48465362850508,17.246361510613458,4.010364204866348,0.2520566019953414
2012,37,NC,073,GATES,42.4,0.627954525033856,0.8121410436617856,0.8653424733598148,113.7953868324896,150.93831297764945,172.21910916683737,22.65328595121227,27.64930464551827,25.07829265927272,29.374157645107452,33.544919385911115,30.2857407142273,15.933383210101876,21.754671909254196,19.871848970034986,0.3876503103092619,0.3740549401589129,0.4142249840725182,5.689271618785666,49.797886197255266,14.370154831595164,54.72636928587766,18.48465362850508,17.246361510613458,4.010364204866348,0.1959696619143316
2013,37,NC,073,GATES,38.8,0.6883373271112866,0.8117928907801658,0.8538692579378276,162.40522024756396,98.68446688629112,120.46263513461368,24.207702577734093,26.265716547721215,24.04566563814363,30.090094023643623,31.586925205695344,29.66902668872625,18.3262939485124,20.94549467046048,18.42328435229903,0.4127125966402942,0.4113439147652556,0.4133736271018614,5.689271618785666,49.797886197255266,14.370154831595164,54.72636928587766,18.48465362850508,17.246361510613458,4.010364204866348,0.3017625917264289
2014,37,NC,073,GATES,44.4,0.6693398963076332,0.829083162999808,0.8398229550411328,130.67827223336096,152.59520824370668,119.76698074343024,24.192027053687944,24.80900520889595,23.668515786270255,30.65807483377853,30.33008709802895,28.813743831087137,17.72696190586481,19.288931317996592,18.524308551305793,0.3596987697206092,0.3702689370282619,0.3960067891067792,5.689271618785666,49.797886197255266,14.370154831595164,54.72636928587766,18.48465362850508,17.246361510613458,4.010364204866348,0.2183802897011982
2015,37,NC,073,GATES,35.7,0.7070750387922187,0.8370805649475339,0.8407693126381126,197.26856097633075,146.33282634704318,91.00679952601904,25.77192147825272,26.44084929171965,25.147816984835604,31.50286914683367,31.8742152285408,31.21601716203588,20.041983650189604,21.00849410247888,19.080636191829427,0.3921914724845999,0.3880367135186129,0.3539017319963987,5.689271618785666,49.797886197255266,14.370154831595164,54.72636928587766,18.48465362850508,17.246361510613458,4.010364204866348,0.2641485299373601
2016,37,NC,073,GATES,40.2,0.6571479870457357,0.7921984418829544,0.8674145205088342,120.55387683340984,166.45424698739686,83.11582469085754,23.710624523950017,27.084656561264968,26.49793971404843,29.785232908199635,32.52462002532675,31.70405029255917,17.637010649004957,21.645678316582888,21.29281358022362,0.3894472223987015,0.3927816581234067,0.3815161644427292,5.689271618785666,49.797886197255266,14.370154831595164,54.72636928587766,18.48465362850508,17.246361510613458,4.010364204866348,0.3604988098934078
