crop,checkpoint,n_stress_features,baseline_mae_without,baseline_r2_without,baseline_mae_with,baseline_r2_with,engineered_mae_without,engineered_r2_without,engineered_mae_with,engineered_r2_with,baseline_mae_delta,engineered_mae_delta
corn,early_season,12,15.86643644996315,0.6602606612966336,15.862400707045818,0.6952880772904357,14.315483369712675,0.7213881504974142,14.12913756860598,0.7103710823064138,-0.00403574291733122,-0.18634580110669496
corn,pre_harvest,18,13.83956388401203,0.7473690502057407,14.246182824783856,0.7413398651915237,13.663433864779797,0.7463430284363806,13.688668731581998,0.752938315511096,0.4066189407718266,0.025234866802200884
soybeans,early_season,12,4.84626425558346,0.698983618708543,4.869460782219609,0.685349226437528,4.252220749158983,0.7110500741419643,4.276434557331356,0.7276756865194901,0.02319652663614935,0.024213808172373064
soybeans,pre_harvest,18,4.00112160727214,0.790723110028899,4.022990413040784,0.7880970677847452,3.6442813196624018,0.7977572269378754,3.506859656602725,0.8265489857681849,0.02186880576864425,-0.13742166305967674
wheat,early_season,12,9.581067639881537,0.1656279034957049,9.733312651701388,0.038135469963792135,9.11775016705785,-0.06003457137759738,9.736248968848804,-0.15551675518057184,0.15224501181985062,0.6184988017909543
wheat,pre_harvest,18,9.22585388365068,0.2631638439527515,9.382098778463948,0.12949805344574894,9.447479855671777,-0.03462775129506057,9.037635043137156,0.00880782477451214,0.15624489481326798,-0.4098448125346206
