year,period,state_fips,county_fips,county_name,ndvi_mean_s2,crop_pixel_count_s2,ndvi_mean_modis,crop_pixel_count_modis
2022,aug,19,191,Winneshiek,0.8807007425448001,73435,0.8652136772673837,13471
2022,aug,19,161,Sac,0.862463782893481,91563,0.8769203960514822,15062
2022,aug,19,055,Delaware,0.8843012596589382,97940,0.8772199118550642,16356
2022,aug,19,067,Floyd,0.8674809358644919,78741,0.8635286385134218,13035
2022,aug,19,009,Audubon,0.8221973864735072,62449,0.84838472413404,10310
2022,aug,19,079,Hamilton,0.8633869877544366,99356,0.8486693963321197,16257
2022,aug,19,069,Franklin,0.8642994508851747,104395,0.8654066812500986,17108
2022,aug,19,141,O'Brien,0.8460886141639554,93590,0.8524630544994753,15460
2022,aug,19,167,Sioux,0.8349111029850261,135971,0.8401758325783449,22613
2022,aug,19,005,Allamakee,0.8827007431655474,36781,0.860639758617107,5964
2022,aug,19,189,Winnebago,0.8708854062657284,65588,0.8806812990080114,10798
2022,aug,19,093,Ida,0.8536138902762427,68401,0.8750607972189588,11161
2022,aug,19,029,Cass,0.7820401778898877,69814,0.8077923004855702,11546
2022,aug,19,083,Hardin,0.8735116743024779,94574,0.8669983959862747,15614
2022,aug,19,173,Taylor,0.7997376078434155,42537,0.8129584047815943,6982
2022,aug,19,145,Page,0.777481749187336,62891,0.8141371001880032,10260
2022,aug,19,035,Cherokee,0.8404503012383981,82198,0.8417893606452284,13538
2022,aug,19,071,Fremont,0.7948163091968571,61658,0.8194377992361076,10129
2022,aug,19,095,Iowa,0.869125585636448,67674,0.853292876781501,11228
2022,aug,19,023,Butler,0.8716621148460801,88921,0.8714490792626521,14672
2022,aug,19,063,Emmet,0.8577934697067009,62032,0.8843515749315919,10174
2022,aug,19,047,Crawford,0.8451942095482161,110896,0.8589588998893324,18280
2022,aug,19,019,Buchanan,0.8848356118189336,97312,0.8785790071932769,16380
2022,aug,19,143,Osceola,0.8646340905852865,66292,0.8659839296349701,10994
2022,aug,19,073,Greene,0.8552151526867905,90187,0.8572638990319398,14663
2022,aug,19,087,Henry,0.8370762490298991,41852,0.8340849771343417,6884
2022,aug,19,119,Lyon,0.845794413074693,100301,0.8538211823298179,16462
2022,aug,19,003,Adams,0.7795031158498045,36410,0.7845612258997217,6018
2022,aug,19,133,Monona,0.7952266576938024,90921,0.772474386261272,15142
2022,aug,19,091,Humboldt,0.8515141216751322,72096,0.8499469924168949,11857
2022,aug,19,115,Louisa,0.8562322837634265,42355,0.8461055741455824,7020
2022,aug,19,171,Tama,0.8790433376752944,93185,0.8702273295997173,15271
2022,aug,19,135,Monroe,0.8184205767355056,12244,0.7788984935923623,1993
2022,aug,19,117,Lucas,0.8086312125196208,15004,0.7756180988086208,2421
2022,aug,19,057,Des Moines,0.8594853809358006,37514,0.8382595017747976,6230
2022,aug,19,011,Benton,0.885707174834788,101836,0.8765608964082553,17234
2022,aug,19,113,Linn,0.8770872330253262,78782,0.8714257337690877,13049
2022,aug,19,105,Jones,0.886821755507982,79733,0.8815254704962336,13189
2022,aug,19,103,Johnson,0.8696784379429919,57569,0.8580583973893521,9603
2022,aug,19,183,Washington,0.8473369070636748,61643,0.8372366485490461,10120
2022,aug,19,045,Clinton,0.8795763700635325,99853,0.8795098057283437,16604
2022,aug,19,163,Scott,0.8744068197071079,57027,0.8677093381811187,9435
2022,aug,19,139,Muscatine,0.8744254331029584,48509,0.8704079491754175,8081
2022,aug,19,169,Story,0.8556264673749706,86743,0.8532500438982178,14142
2022,aug,19,015,Boone,0.8528107597379585,82937,0.85190942920383,13749
2022,aug,19,121,Madison,0.7918752075485561,37340,0.8168153594573799,6158
