year,period,state_fips,county_fips,county_name,ndvi_mean_s2,crop_pixel_count_s2,ndvi_mean_modis,crop_pixel_count_modis
2018,jun,19,149,Plymouth,0.6015459961006447,121796,0.769103831589403,19746
2018,jun,19,193,Woodbury,0.5637907486808265,113408,0.7716063828175778,18563
2018,jun,19,027,Carroll,0.6609830727910943,99691,0.8327848852446121,16235
2018,jun,19,061,Dubuque,0.6476075318775169,70584,0.765820309100578,11566
2018,jun,19,101,Jefferson,0.7010198319695274,36299,0.8260296514298302,5920
2018,jun,19,187,Webster,0.5285896859957521,109891,0.7942544038547316,17906
2018,jun,19,111,Lee,0.6644210479420316,39868,0.7987818816808557,6497
2018,jun,19,127,Marshall,0.48876628064794225,79160,0.8040671175494998,13413
2018,jun,19,195,Worth,0.5020835292732485,61286,0.6964100355509594,10008
2018,jun,19,033,Cerro Gordo,0.5719108311749622,87597,0.6758791165073782,14423
2018,jun,19,051,Davis,0.6532030447509729,22167,0.8121415820428465,3659
2018,jun,19,179,Wapello,0.6959882868692272,29839,0.831594772715661,4889
2018,jun,19,041,Clay,0.7007983750200878,85045,0.7093565966148722,13776
2018,jun,19,059,Dickinson,0.7368677515614731,50493,0.6876665150764293,8293
2018,jun,19,021,Buena Vista,0.5807893100264954,89494,0.7630533145550835,14480
2018,jun,19,013,Black Hawk,0.41589263936098386,45885,0.7873442722868362,13288
2018,jun,19,075,Grundy,0.470472149337367,82252,0.7711039680599628,13974
2018,jun,19,017,Bremer,0.39369326032303426,35998,0.780861425969873,11292
2018,jun,19,085,Harrison,0.6435584706529001,92652,0.8122605847982929,15260
2018,jun,19,129,Mills,0.7399614369921029,52375,0.818936759410109,8536
2018,jun,19,155,Pottawattamie,0.696887631335907,127709,0.8136666609521919,20971
2018,jun,19,123,Mahaska,0.6397416107069783,67670,0.8450756588794671,11126
2018,jun,19,125,Marion,0.5271539642229182,41852,0.8316793951611945,6879
2018,jun,19,053,Decatur,0.622749722245558,21169,0.8372500405388583,3474
2018,jun,19,031,Cedar,0.7361815644125224,81237,0.8223750643478376,13337
2018,jun,19,151,Pocahontas,0.5827986200647982,97929,0.7109215382841209,16012
2018,jun,19,109,Kossuth,0.6279214206845847,172705,0.6889673490072963,28016
2018,jun,19,089,Howard,0.4140326769274819,55620,0.6973170027825222,11895
