year,state_fips,state_alpha,county_fips,county_name,yield_bu_acre,ndvi_jun,ndvi_jul,ndvi_aug,precip_sum_jun,precip_sum_jul,precip_sum_aug,tmean_jun,tmean_jul,tmean_aug,tmax_jun,tmax_jul,tmax_aug,tmin_jun,tmin_jul,tmin_aug,soil_moisture_jun,soil_moisture_jul,soil_moisture_aug,soil_organic_carbon,soil_ph,soil_clay_pct,soil_sand_pct,soil_water_content_33kpa,elevation_m,slope_deg,pct_continuous
2025,17,IL,159,RICHLAND,157.4,0.6015055023852506,0.8748185228366335,0.8346526751682459,125.37971345505578,160.53964036316583,34.1789580186462,24.65797522671683,27.013990174131298,23.49504931291351,29.396479022929828,31.84503863160208,29.253028299502382,19.919471445020484,22.18294149463533,17.73706488098994,0.4429896238381522,0.4456712849029441,0.3553519532514902,2.1473214258305156,60.56861760748202,17.618363477290956,16.628452144015654,22.84166527671895,144.96126373420535,2.6910789223619385,0.0805232830217334
2010,17,IL,161,ROCK ISLAND,163.9,0.7970324028101208,0.8497955890282057,0.7340099775687196,211.6213697733926,127.86720728986316,126.62911385011957,23.027830901507443,25.060755321908115,24.26153266073846,28.18800960993922,29.922564350267795,29.42196795149238,17.86864831211218,20.199940703059816,19.10209772513509,0.3837191180738393,0.336410460821562,0.3529744019616257,4.66207177587621,61.40892722117035,21.39569987515751,24.05687671833932,24.395611753048108,203.91285878312743,2.987875409511919,0.4119019255593396
2011,17,IL,161,ROCK ISLAND,176.4,0.6982948872194226,0.858051325243205,0.8147253298620266,102.21575537968452,63.09517647101355,61.466154106810336,21.372418175711744,26.29855331974836,23.088802687794793,26.171039340117833,31.50483385811055,29.060270594751447,16.57478820440769,21.093252490097584,17.118331027270866,0.3756212814971302,0.2563928384597299,0.231860658161868,4.66207177587621,61.40892722117035,21.39569987515751,24.05687671833932,24.395611753048108,203.91285878312743,2.987875409511919,0.396896084247775
2013,17,IL,161,ROCK ISLAND,182.3,0.6757507987066307,0.8655587194748275,0.8139093066728373,106.27414755095906,57.64879661392717,14.988151230652024,21.33017855447971,22.855178273412847,22.703272784075995,26.551617129116774,28.33014453174797,28.762697736697817,16.109753488074876,17.38123527156444,16.644861417148782,0.3732309002048817,0.2706990156009446,0.2080027043871765,4.66207177587621,61.40892722117035,21.39569987515751,24.05687671833932,24.395611753048108,203.91285878312743,2.987875409511919,0.3968419908242918
2014,17,IL,161,ROCK ISLAND,185.8,0.8065445395211585,0.871246926529001,0.8455361658854469,174.27368444834457,51.96367592949116,103.28981039652255,22.12540907202749,20.933994209480105,22.66288389091154,27.42123563437896,26.196071603344738,27.55081977854945,16.830577292582067,15.672907996559054,17.775937349284057,0.3654331526066428,0.3266444247077342,0.2464801691835371,4.66207177587621,61.40892722117035,21.39569987515751,24.05687671833932,24.395611753048108,203.91285878312743,2.987875409511919,0.323816598014721
2015,17,IL,161,ROCK ISLAND,193.7,0.8120850746589178,0.880725977461531,0.7771395753898918,228.86342825137768,149.39112408429722,95.51206656507178,21.408178775966128,22.81603309918257,21.572671724857862,26.63088792481954,27.79124051993207,26.936670058952075,16.18649835089122,17.84183042576944,16.209664500438805,0.3789074522766832,0.3677959266348249,0.3270307988969106,4.66207177587621,61.40892722117035,21.39569987515751,24.05687671833932,24.395611753048108,203.91285878312743,2.987875409511919,0.3429551181430062
2016,17,IL,161,ROCK ISLAND,210.8,0.8296917335955313,0.8778867000901601,0.8032482979603298,97.17886197874648,175.64503209931974,229.02981003541535,23.343571269741112,23.68215593083297,23.785266857562437,29.546559060847702,28.53708721693567,28.661517046249493,17.14157482650837,18.82821772055815,18.9099984462071,0.3065133925583428,0.2723476570307181,0.3043704116896011,4.66207177587621,61.40892722117035,21.39569987515751,24.05687671833932,24.395611753048108,203.91285878312743,2.987875409511919,0.3408485348585255
2017,17,IL,161,ROCK ISLAND,225.2,0.7282575006758951,0.8741432067597971,0.8267823736047636,94.71680339848372,172.26262193660864,35.36197216813882,22.63475401122506,23.85663652498424,20.638103653031795,28.965125533671596,29.65313866168758,26.276776073174258,16.305343560866994,18.06110576462479,15.000426104880946,0.314571069600726,0.2952371370868882,0.2371380788512585,4.66207177587621,61.40892722117035,21.39569987515751,24.05687671833932,24.395611753048108,203.91285878312743,2.987875409511919,0.3457523808922099
2018,17,IL,161,ROCK ISLAND,223.4,0.8213701275036289,0.8563668230424286,0.7200599778158215,157.45248000524833,67.96422164032393,180.8127896032916,23.30192507977943,23.352832466981617,23.505193166178792,28.569658118606135,28.975054728097316,28.898698320883163,18.035190413203996,17.731602848730336,18.11268031864299,0.3348802063952651,0.2918225940986486,0.2742795849329553,4.66207177587621,61.40892722117035,21.39569987515751,24.05687671833932,24.395611753048108,203.91285878312743,2.987875409511919,0.3143388421289759
2020,17,IL,161,ROCK ISLAND,198.3,0.708861722644516,0.8782625777840415,0.8184898386758963,122.74310888937352,114.3987040780788,23.95811435297084,23.000178255008468,24.92612998296211,22.834144430631188,28.687266147113267,30.100875763800797,28.81344727162624,17.313194757799614,19.75148492868244,16.85494231099532,0.3289320278204374,0.3378407816192823,0.2293043185359358,4.66207177587621,61.40892722117035,21.39569987515751,24.05687671833932,24.395611753048108,203.91285878312743,2.987875409511919,0.2845795543697014
